"metrics","p_values","cliff_delta","cliff_estimate"
"cbo",7.21708259881683e-70,"large",0.598005292082231
"wmc",4.555662874375e-64,"large",0.573577303911591
"dit",0.808413746775915,"negligible",-0.00774356149950311
"noc",0.017161442822704,"negligible",0.0358293123885011
"rfc",1.30713422978164e-88,"large",0.675979693729721
"lcom",3.51738704528558e-26,"medium",0.348840411393542
"nom",9.00685559877231e-40,"medium",0.44718992828151
"nopm",1.29282160307631e-20,"small",0.314854946660121
"nosm",2.04756180505677e-22,"small",0.273290549682116
"nof",1.10157696193979e-24,"medium",0.345131763269118
"nopf",0.120584705155989,"negligible",0.0351618155912884
"nosf",1.00262189392342e-07,"small",0.167775170316447
"nosi",6.53688826692559e-44,"medium",0.455924258569701
"loc",1.67597544210813e-59,"large",0.552690341351277
"vocabulary",1.05421965183855e-81,"large",0.650450186180721
"length",3.20151947582148e-73,"large",0.614959112079597
"calculated_length",2.19343557906563e-62,"small",0.307730264172357
"volume",8.67995402509915e-75,"large",0.621681972198609
"difficulty",1.28128164719672e-40,"medium",0.447585038493313
"effort",7.57215494980245e-51,"large",0.503056117623113
"time",7.57215494980245e-51,"large",0.503056117623113
"bugs",8.67995402509915e-75,"large",0.621681972198609
"A",0.000326384623025972,"negligible",0.121619113755822
"Ca",0.0057018979128256,"negligible",-0.0936022078279714
"Ce",2.48568314576806e-22,"small",0.329881107745357
"D",4.25117639596073e-15,"small",-0.266429999640809
"I",6.84385448361377e-17,"small",0.283425725266699
"V",NA,"negligible",0
"abstract",6.62382925867877e-09,"negligible",0.113372684714024
"assert",3.4431944713981e-07,"negligible",0.0748524323224099
"boolean",1.27929686060775e-26,"medium",0.331701009326996
"break",0.00249848443826461,"negligible",0.0207911782665437
"byte",0.000864089707455318,"negligible",0.0383346703224339
"case",2.09949220567939e-10,"negligible",0.135549741981059
"catch",2.35507817834479e-29,"small",0.276604087594737
"char",0.000368418703087912,"negligible",0.0383197040265323
"const",NA,"negligible",0
"continue",0.122514605516064,"negligible",0.0121406592354019
"default",1.21145811262947e-12,"small",0.150435219884819
"do",2.78884797263026e-12,"negligible",0.146813376276625
"double",0.128004924815868,"negligible",-0.0390141401563679
"else",3.16992546614437e-34,"medium",0.344634882245184
"extends",0.000136870763749486,"negligible",0.118269656733037
"false",0.00129515795012187,"negligible",0.0403162078998096
"final",2.5588005390201e-25,"medium",0.349669544186492
"finally",5.36058552773099e-09,"negligible",0.0779893679433915
"float",0.675928327484477,"negligible",-0.00336442331868632
"for",3.36351697035453e-38,"medium",0.426446642161852
"goto",NA,"negligible",0
"if",1.74498679572101e-52,"large",0.50633672968475
"implements",0.154404068978406,"negligible",0.0425372062116114
"import",1.9855334019623e-73,"large",0.614028208474515
"instanceof",4.89171664245555e-12,"small",0.157307742962848
"int",9.14028887374445e-25,"small",0.323712000574706
"interface",0.00122084077177172,"negligible",0.0415584104596449
"long",0.0146511042136785,"negligible",0.0726104811963458
"native",0.0334064252157701,"negligible",0.0103806228373702
"new",1.69408543472222e-62,"large",0.558766657487339
"null",1.09893039096113e-16,"small",0.230427078219849
"package",0.341800288602286,"negligible",0.00692939500245447
"private",6.69065668916862e-34,"medium",0.408361370194322
"protected",2.27156844297964e-17,"small",0.227481711186408
"public",3.41809353195784e-21,"small",0.319862669268807
"return",2.13870544220811e-32,"medium",0.400770464913016
"short",0.00158864655416788,"negligible",0.0242364195830989
"static",1.06671362244697e-29,"medium",0.374235222279427
"strictfp",NA,"negligible",0
"super",0.00128381489821843,"negligible",0.0310909831060452
"switch",2.73243839376005e-07,"negligible",0.0731522611079848
"synchronized",0.442916613219556,"negligible",0.00910250116737108
"this",2.52528280249444e-11,"small",0.206840195878881
"throw",2.17266603538341e-38,"medium",0.392413285281546
"throws",1.63212993141926e-18,"small",0.246940889117707
"transient",0.0043450524302443,"negligible",0.0275409777181787
"true",2.98719727598209e-10,"negligible",0.115734366207301
"try",6.89042760121749e-37,"small",0.328019300535195
"void",3.32216675574908e-36,"medium",0.402883705894326
"volatile",0.000266544920313759,"negligible",0.0396936099903018
"while",1.08087475549645e-17,"small",0.200168221165934
