project_x,class_x,branch_coverage,file,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,project_y,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,A,Ca,Ce,D,I,V,project,abstract,assert,boolean,break,byte,case,catch,char,class_y,class-name,const,continue,default,do,double,else,extends,false,final,finally,float,for,goto,if,implements,import,instanceof,int,interface,long,native,new,null,package,private,protected,public,return,short,static,strictfp,super,switch,synchronized,this,throw,throws,transient,true,try,void,volatile,while
cassandra,org.apache.cassandra.auth.CassandraPrincipal,0.7999999999999999,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/auth/CassandraPrincipal.java,class,1,15,1,0,3,0,5,5,0,2,0,1,0,122,cassandra,32,69,142.60593781761293,345.0,4.357142857142857,1503.2142857142856,83.51190476190476,0.115,0.17,10.0,37.0,0.04,0.79,1.0,cassandra,0,0,1,0,0,0,0,0,3,org.apache.cassandra.auth.CassandraPrincipal,0,0,0,0,0,0,0,0,2,0,0,10,0,8,2,2,1,1,1,1,0,1,1,1,2,0,6,8,0,1,0,0,0,0,14,1,0,0,2,0,0,0,0
cassandra,org.apache.cassandra.auth.DataResource,0.8800000000000001,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/auth/DataResource.java,class,4,46,1,0,15,0,18,17,4,8,0,4,11,236,cassandra,100,320,627.7932538874503,2126.033980727912,9.548387096774192,20300.195428885865,1127.7886349381035,0.7086779935759706,0.17,10.0,37.0,0.04,0.79,1.0,cassandra,0,0,6,0,0,14,0,0,1,org.apache.cassandra.auth.DataResource,0,0,0,0,0,0,0,0,8,0,0,2,0,11,1,5,1,2,0,0,0,11,0,1,9,0,18,29,0,8,0,0,5,0,3,8,0,1,0,0,0,0,0
cassandra,org.apache.cassandra.auth.JMXResource,0.9333333333333332,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/auth/JMXResource.java,class,4,35,1,0,13,0,14,12,3,5,0,3,8,158,cassandra,92,248,568.1685439087073,1617.8433651021396,7.779069767441863,12585.316409922456,699.184244995692,0.5392811217007131,0.17,10.0,37.0,0.04,0.79,1.0,cassandra,0,0,3,0,0,0,2,0,1,org.apache.cassandra.auth.JMXResource,0,0,0,0,0,1,0,0,5,0,0,3,0,10,1,8,1,1,0,0,0,6,0,1,7,0,13,20,1,6,0,0,0,0,3,4,0,0,0,1,0,0,0
cassandra,org.apache.cassandra.auth.Resources,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/auth/Resources.java,class,6,17,1,0,21,3,3,3,3,2,2,2,10,80,cassandra,45,117,235.32938445219017,642.546812270572,2.581395348837209,1658.66735260543,92.14818625585724,0.21418227075685733,0.17,10.0,37.0,0.04,0.79,1.0,cassandra,0,0,0,0,0,0,0,0,2,org.apache.cassandra.auth.Resources,0,0,0,0,0,5,1,0,3,0,0,4,0,6,0,3,1,0,0,0,0,3,0,1,0,0,6,6,0,5,0,0,0,0,3,1,0,0,0,0,0,0,1
cassandra,org.apache.cassandra.auth.RoleResource,0.5999999999999999,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/auth/RoleResource.java,class,4,30,1,0,12,0,15,13,3,6,0,4,8,155,cassandra,87,242,525.4057320453921,1559.1923259953924,8.1375,12687.927552787505,704.8848640437503,0.5197307753317975,0.17,10.0,37.0,0.04,0.79,1.0,cassandra,0,0,3,0,0,0,0,0,1,org.apache.cassandra.auth.RoleResource,0,0,0,0,0,0,0,0,6,0,0,2,0,9,1,5,1,2,0,0,0,5,0,1,8,0,14,16,1,7,0,0,0,0,3,3,0,0,0,0,0,0,0
cassandra,org.apache.cassandra.cache.KeyCacheKey,0.11111111111111112,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/cache/KeyCacheKey.java,class,5,9,2,0,13,0,5,5,0,3,2,1,8,63,cassandra,51,130,259.8664756744443,737.4152944562945,7.840909090909093,5782.0062860777625,321.2225714487647,0.2458050981520981,0.21,11.0,31.0,0.05,0.74,1.0,cassandra,0,1,1,0,0,0,0,0,1,org.apache.cassandra.cache.KeyCacheKey,0,0,0,0,0,0,1,0,3,0,0,2,0,2,0,6,0,2,0,2,0,0,1,1,1,0,8,6,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
cassandra,org.apache.cassandra.cache.RowCacheKey,0.3888888888888889,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/cache/RowCacheKey.java,class,5,12,2,0,11,0,7,7,0,2,1,1,7,68,cassandra,49,135,246.12881621111117,757.9858289555531,8.642857142857142,6551.163235972996,363.9535131096108,0.25266194298518435,0.21,11.0,31.0,0.05,0.74,1.0,cassandra,0,1,1,0,0,0,0,0,1,org.apache.cassandra.cache.RowCacheKey,0,0,0,0,0,0,1,0,3,0,0,2,0,2,0,6,0,2,0,2,0,0,2,1,1,0,9,6,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
cassandra,org.apache.cassandra.concurrent.NamedThreadFactory,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/concurrent/NamedThreadFactory.java,class,1,7,1,0,7,0,5,5,1,5,1,0,1,76,cassandra,42,108,210.88557403779114,582.3702816601061,2.5384615384615383,1478.3245611371924,82.12914228539958,0.19412342722003534,0.18,32.0,20.0,0.44,0.38,1.0,cassandra,0,0,0,0,1,0,0,0,2,org.apache.cassandra.concurrent.NamedThreadFactory,0,0,0,0,0,0,0,0,5,1,0,4,0,1,1,4,0,3,0,0,0,2,0,1,3,1,7,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0
cassandra,org.apache.cassandra.config.ParameterizedClass,0.6666666666666666,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/config/ParameterizedClass.java,class,1,7,1,0,6,4,5,5,0,4,4,2,0,53,cassandra,37,101,174.46500593882897,526.154789928524,5.636363636363638,2965.5997250516807,164.7555402806489,0.17538492997617466,0.07,63.0,57.0,0.46,0.47,1.0,cassandra,0,0,2,0,0,0,0,0,1,org.apache.cassandra.config.ParameterizedClass,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,1,0,0,0,0,0,1,1,0,0,10,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
cassandra,org.apache.cassandra.config.TransparentDataEncryptionOptions,1.0,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/config/TransparentDataEncryptionOptions.java,class,3,8,1,0,4,14,8,8,0,6,6,0,0,65,cassandra,38,108,188.11730005192317,566.7761714519073,2.6944444444444446,1527.1469064120834,84.8414948006713,0.18892539048396906,0.07,63.0,57.0,0.46,0.47,1.0,cassandra,0,0,3,0,0,0,0,0,1,org.apache.cassandra.config.TransparentDataEncryptionOptions,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,2,0,0,0,0,0,1,0,0,15,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
