branch_coverage,class,project
0.0,com.google.common.util.concurrent.Monitor,guava
0.0,com.google.common.base.Verify,guava
0.0,com.google.common.collect.MutableClassToInstanceMap,guava
0.0,com.google.common.eventbus.SubscriberExceptionContext,guava
0.0,com.google.common.math.PairedStatsAccumulator,guava
0.0,com.google.common.net.HostSpecifier,guava
0.0,com.google.common.io.Resources,guava
0.0,com.google.common.cache.RemovalListeners,guava
0.0,com.google.common.collect.ObjectArrays,guava
0.0,com.google.common.base.Preconditions,guava
0.0,com.google.common.hash.Funnels,guava
0.0,com.google.common.collect.LinkedListMultimap,guava
0.0,com.google.common.util.concurrent.UncaughtExceptionHandlers,guava
0.0,com.google.common.io.ByteStreams,guava
0.0,com.google.common.util.concurrent.ServiceManager,guava
0.0,com.google.common.collect.EvictingQueue,guava
0.0,com.google.common.collect.Maps,guava
0.0,com.google.common.collect.TreeRangeSet,guava
0.0,com.google.common.collect.EnumBiMap,guava
0.0,com.google.common.base.VerifyException,guava
0.0,com.google.common.net.HostAndPort,guava
0.0,com.google.common.collect.Range,guava
0.0,com.google.common.collect.LinkedHashMultimap,guava
0.0,com.google.common.base.Strings,guava
0.0,com.google.common.math.Stats,guava
0.0,com.google.common.cache.RemovalNotification,guava
0.0,com.google.common.primitives.Bytes,guava
0.0,com.google.common.primitives.UnsignedLong,guava
0.0,com.google.common.reflect.TypeResolver,guava
0.0,com.google.common.math.BigIntegerMath,guava
0.0,com.google.common.collect.ArrayTable,guava
0.0,com.google.common.escape.Escapers,guava
0.0,com.google.common.base.Charsets,guava
0.0,com.google.common.math.PairedStats,guava
0.8478260869565217,com.google.common.primitives.ImmutableLongArray,guava
0.0,com.google.common.base.Suppliers,guava
0.0,com.google.common.primitives.UnsignedInteger,guava
0.0,com.google.common.util.concurrent.ExecutionError,guava
0.0,com.google.common.collect.MapMaker,guava
0.0,com.google.common.base.Splitter,guava
0.0,com.google.common.util.concurrent.UncheckedExecutionException,guava
0.0,com.google.common.reflect.Reflection,guava
0.0,com.google.common.collect.ImmutableSetMultimap,guava
0.0,com.google.common.math.StatsAccumulator,guava
0.0,com.google.common.escape.ArrayBasedEscaperMap,guava
0.0,com.google.common.graph.ElementOrder,guava
0.0,com.google.common.util.concurrent.Futures,guava
0.0,com.google.common.graph.ImmutableNetwork,guava
0.0,com.google.common.collect.ArrayListMultimap,guava
0.0,com.google.common.graph.Graphs,guava
0.0,com.google.common.io.FileBackedOutputStream,guava
0.0,com.google.common.collect.Tables,guava
0.0,com.google.common.graph.NetworkBuilder,guava
0.0,com.google.common.math.IntMath,guava
0.0,com.google.common.collect.ImmutableSortedMap,guava
0.0,com.google.common.util.concurrent.Atomics,guava
0.8478260869565217,com.google.common.primitives.ImmutableIntArray,guava
0.0,com.google.common.collect.Multimaps,guava
0.0,com.google.common.io.Flushables,guava
0.0,com.google.common.hash.Hashing,guava
0.0,com.google.common.util.concurrent.ThreadFactoryBuilder,guava
0.0,com.google.common.cache.CacheBuilderSpec,guava
0.0,com.google.common.collect.Multisets,guava
0.0,com.google.common.base.internal.Finalizer,guava
0.0,com.google.common.collect.ImmutableListMultimap,guava
0.0,com.google.common.collect.LinkedHashMultiset,guava
0.0,com.google.common.hash.HashingOutputStream,guava
0.0,com.google.common.collect.ImmutableClassToInstanceMap,guava
0.0,com.google.common.collect.MinMaxPriorityQueue,guava
0.0,com.google.common.eventbus.AsyncEventBus,guava
0.0,com.google.common.collect.EnumMultiset,guava
0.0,com.google.common.io.CountingOutputStream,guava
0.0,com.google.common.collect.HashBiMap,guava
0.0,com.google.common.io.LittleEndianDataOutputStream,guava
0.0,com.google.common.util.concurrent.AtomicDoubleArray,guava
