file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/util/concurrent/ForwardingListeningExecutorService.java,com.google.common.util.concurrent.ForwardingListeningExecutorService,class,8,5,2,0,4,10,5,3,0,0,0,0,0,47
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/graph/EndpointPair.java,com.google.common.graph.EndpointPair,class,12,48,3,0,21,204,28,23,4,2,0,0,10,217
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/primitives/UnsignedBytes.java,com.google.common.primitives.UnsignedBytes,class,8,56,1,0,39,198,20,16,15,8,2,8,34,406
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/util/concurrent/AbstractCatchingFuture.java,com.google.common.util.concurrent.AbstractCatchingFuture,class,18,24,9,0,17,33,15,1,4,3,0,0,6,189
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/util/concurrent/UncheckedExecutionException.java,com.google.common.util.concurrent.UncheckedExecutionException,class,2,4,4,0,0,6,4,2,0,1,0,1,0,58
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/EnumBiMap.java,com.google.common.collect.EnumBiMap,class,11,17,3,0,27,7,11,4,4,3,0,1,9,132
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/Lists.java,com.google.common.collect.Lists,class,30,162,30,0,101,3978,88,59,30,22,0,6,23,1079
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/Comparators.java,com.google.common.collect.Comparators,class,5,14,1,0,5,6,4,3,3,0,0,0,0,100
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/io/CountingOutputStream.java,com.google.common.io.CountingOutputStream,class,3,5,3,0,4,4,5,5,0,1,0,0,0,60
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/reflect/TypeCapture.java,com.google.common.reflect.TypeCapture,class,0,1,1,0,4,0,1,0,0,0,0,0,0,30
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/io/FileBackedOutputStream.java,com.google.common.io.FileBackedOutputStream,class,6,32,4,0,17,72,14,9,0,6,0,0,1,189
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/AbstractSortedMultiset.java,com.google.common.collect.AbstractSortedMultiset,class,13,24,6,0,17,132,14,8,0,2,0,0,4,125
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/math/DoubleUtils.java,com.google.common.math.DoubleUtils,class,1,16,1,0,14,16,8,0,7,7,0,7,13,127
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/RowSortedTable.java,com.google.common.collect.RowSortedTable,interface,5,2,1,0,0,1,2,0,0,0,0,0,0,50
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/util/concurrent/Atomics.java,com.google.common.util.concurrent.Atomics,class,4,5,1,0,0,10,5,4,4,0,0,0,0,64
/Users/grano/PycharmProjects/jsep/projects/guava/sources/com/google/common/collect/Hashing.java,com.google.common.collect.Hashing,class,2,9,1,0,5,2,5,0,4,3,0,3,4,66
