file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/utils/CounterId.java,org.apache.cassandra.utils.CounterId,class,2,21,1,0,23,53,15,11,6,4,1,2,10,123
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/tools/nodetool/GetTraceProbability.java,org.apache.cassandra.tools.nodetool.GetTraceProbability,class,3,1,2,0,2,0,1,1,0,0,0,0,0,30
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/ListSerializer.java,org.apache.cassandra.serializers.ListSerializer,class,8,31,2,0,20,6,9,8,1,2,1,1,7,151
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/index/sasi/SASIIndex.java,org.apache.cassandra.index.sasi.SASIIndex,class,48,67,1,0,57,522,27,26,2,4,0,1,11,288
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/cql3/functions/AggregateFunction.java,org.apache.cassandra.cql3.functions.AggregateFunction,interface,3,4,1,0,0,6,4,4,0,0,0,0,0,57
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/db/SinglePartitionReadCommand.java,org.apache.cassandra.db.SinglePartitionReadCommand,class,63,181,5,0,197,1111,57,39,12,7,1,1,49,954
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/db/PartitionPosition.java,org.apache.cassandra.db.PartitionPosition,interface,11,15,1,0,19,9,7,6,2,2,1,2,3,100
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/tracing/Tracing.java,org.apache.cassandra.tracing.Tracing,class,13,57,1,0,44,134,28,25,8,9,3,6,12,267
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/db/marshal/ColumnToCollectionType.java,org.apache.cassandra.db.marshal.ColumnToCollectionType,class,11,26,2,0,20,61,14,13,2,2,1,1,3,131
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/db/commitlog/CommitLogDescriptor.java,org.apache.cassandra.db.commitlog.CommitLogDescriptor,class,11,45,1,0,37,16,17,15,8,16,8,12,9,240
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/dht/tokenallocator/TokenAllocation.java,org.apache.cassandra.dht.tokenallocator.TokenAllocation,class,19,45,1,0,60,190,11,4,10,1,0,1,17,226
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/auth/IAuthenticator.java,org.apache.cassandra.auth.IAuthenticator,interface,3,9,1,0,0,36,9,3,0,0,0,0,0,120
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/db/marshal/AbstractCompositeType.java,org.apache.cassandra.db.marshal.AbstractCompositeType,class,8,76,2,0,53,272,24,11,3,4,0,4,7,286
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/io/sstable/SimpleSSTableMultiWriter.java,org.apache.cassandra.io.sstable.SimpleSSTableMultiWriter,class,12,14,1,0,14,0,14,13,1,2,0,0,4,104
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/exceptions/PreparedQueryNotFoundException.java,org.apache.cassandra.exceptions.PreparedQueryNotFoundException,class,2,2,6,0,2,0,2,1,1,1,1,0,2,35
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/service/paxos/PrepareVerbHandler.java,org.apache.cassandra.service.paxos.PrepareVerbHandler,class,6,1,1,0,3,0,1,1,0,0,0,0,1,34
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/repair/NodePair.java,org.apache.cassandra.repair.NodePair,class,6,10,1,0,6,0,6,6,0,3,3,1,0,72
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/transport/ProtocolVersion.java,org.apache.cassandra.transport.ProtocolVersion,enum,2,18,1,0,12,0,11,10,3,10,4,7,10,128
/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/io/util/LengthAvailableInputStream.java,org.apache.cassandra.io.util.LengthAvailableInputStream,class,1,12,3,0,5,15,10,10,0,1,0,0,0,86
