file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/DelegateFactory.java,dagger.internal.DelegateFactory,class,4,8,1,0,1,0,2,2,0,1,0,0,0,41
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/ProviderOfLazy.java,dagger.internal.ProviderOfLazy,class,6,3,1,0,2,0,3,2,1,1,0,0,2,46
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/MapFactory.java,dagger.internal.MapFactory,class,7,4,1,0,9,1,3,2,1,1,0,0,3,54
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/DaggerCollections.java,dagger.internal.DaggerCollections,class,3,14,1,0,4,15,6,2,5,1,0,1,3,80
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/MembersInjectors.java,dagger.internal.MembersInjectors,class,4,5,1,0,3,10,5,4,3,0,0,0,2,65
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/InstanceFactory.java,dagger.internal.InstanceFactory,class,5,6,1,0,2,4,5,3,3,2,0,1,2,54
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/Preconditions.java,dagger.internal.Preconditions,class,1,14,1,0,5,6,4,3,3,0,0,0,1,80
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/Factory.java,dagger.internal.Factory,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,36
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/ReferenceReleasingProviderManager.java,dagger.internal.ReferenceReleasingProviderManager,class,4,12,1,0,11,32,9,5,0,2,0,0,1,93
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/TypedReleasableReferenceManagerDecorator.java,dagger.internal.TypedReleasableReferenceManagerDecorator,class,4,5,1,0,5,0,5,5,0,2,0,0,2,61
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/MapProviderFactory.java,dagger.internal.MapProviderFactory,class,9,11,1,0,4,7,7,5,2,3,0,1,3,90
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/releasablereferences/TypedReleasableReferenceManager.java,dagger.releasablereferences.TypedReleasableReferenceManager,interface,4,1,1,0,0,0,1,0,0,0,0,0,0,59
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/ReferenceReleasingProvider.java,dagger.internal.ReferenceReleasingProvider,class,6,25,1,0,5,0,6,4,1,4,0,1,1,151
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/SingleCheck.java,dagger.internal.SingleCheck,class,7,7,1,0,2,0,3,2,1,3,0,1,1,56
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/DoubleCheck.java,dagger.internal.DoubleCheck,class,7,14,1,0,2,0,4,3,2,3,0,1,2,83
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/internal/SetFactory.java,dagger.internal.SetFactory,class,11,12,1,0,17,0,8,6,2,5,0,1,10,122
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/Lazy.java,dagger.Lazy,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,149
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/releasablereferences/ReleasableReferenceManager.java,dagger.releasablereferences.ReleasableReferenceManager,interface,2,3,1,0,0,3,3,0,0,0,0,0,0,92
/Users/grano/PycharmProjects/jsep/projects/dagger/sources/dagger/MembersInjector.java,dagger.MembersInjector,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,41
