file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/repository/AbstractRepository.java,org.apache.ivy.plugins.repository.AbstractRepository,class,5,26,1,6,18,85,19,9,0,3,0,0,1,111
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/util/DefaultMessageLogger.java,org.apache.ivy.util.DefaultMessageLogger,class,1,8,2,0,3,3,6,6,0,1,0,0,0,44
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/resolver/CacheResolver.java,org.apache.ivy.plugins.resolver.CacheResolver,class,19,31,6,0,48,78,13,12,0,0,0,0,13,167
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/matcher/Matcher.java,org.apache.ivy.plugins.matcher.Matcher,interface,0,2,1,0,0,1,2,2,0,0,0,0,0,41
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/util/ZipUtil.java,org.apache.ivy.osgi.util.ZipUtil,class,1,7,1,0,16,1,2,1,2,0,0,0,2,60
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/obr/xml/Requirement.java,org.apache.ivy.osgi.obr.xml.Requirement,class,1,7,1,0,0,13,7,7,0,4,0,0,0,47
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/module/descriptor/ModuleDescriptor.java,org.apache.ivy.core.module.descriptor.ModuleDescriptor,interface,19,35,1,0,0,595,35,2,0,2,2,2,0,253
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/ant/AntBuildTrigger.java,org.apache.ivy.ant.AntBuildTrigger,class,7,27,2,0,33,44,12,9,0,5,0,0,8,149
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/resolver/DualResolver.java,org.apache.ivy.plugins.resolver.DualResolver,class,12,48,2,0,29,0,21,21,0,5,2,2,4,188
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/install/InstallOptions.java,org.apache.ivy.core.install.InstallOptions,class,2,15,1,0,0,77,14,14,0,7,0,0,0,79
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/sort/CollectionOfModulesToSort.java,org.apache.ivy.core.sort.CollectionOfModulesToSort,class,6,13,1,0,14,0,5,4,0,4,0,0,0,98
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/repository/vfs/VfsResource.java,org.apache.ivy.plugins.repository.vfs.VfsResource,class,6,26,1,0,24,21,14,13,1,8,0,0,8,178
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/publish/PublishEngine.java,org.apache.ivy.core.publish.PublishEngine,class,12,52,1,0,87,0,4,3,0,2,0,0,25,272
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/version/VersionRangeMatcher.java,org.apache.ivy.plugins.version.VersionRangeMatcher,class,5,41,2,0,16,79,15,13,0,30,0,26,7,199
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/Ivy.java,org.apache.ivy.Ivy,class,39,123,1,0,86,2234,75,73,6,18,1,4,20,867
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/core/ManifestHeaderElement.java,org.apache.ivy.osgi.core.ManifestHeaderElement,class,1,30,1,0,14,0,8,8,0,3,0,0,0,101
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/retrieve/RetrieveEngineSettings.java,org.apache.ivy.core.retrieve.RetrieveEngineSettings,interface,2,3,1,0,0,3,3,0,0,0,0,0,0,25
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/repository/TransferEvent.java,org.apache.ivy.plugins.repository.TransferEvent,class,4,43,2,0,10,165,23,15,1,23,12,13,4,301
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/ant/IvyInstall.java,org.apache.ivy.ant.IvyInstall,class,8,49,3,0,20,304,28,28,0,13,0,0,3,183
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/conflict/NoConflictManager.java,org.apache.ivy.plugins.conflict.NoConflictManager,class,2,2,2,0,1,1,2,2,0,0,0,0,0,28
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/ant/IvyMakePom.java,org.apache.ivy.ant.IvyMakePom,class,9,58,3,0,45,705,42,39,0,20,0,0,3,241
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/util/filter/OrFilter.java,org.apache.ivy.util.filter.OrFilter,class,1,4,1,0,1,0,4,4,0,2,0,0,0,35
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/resolver/util/ResolverHelper.java,org.apache.ivy.plugins.resolver.util.ResolverHelper,class,6,60,1,0,53,21,7,5,6,0,0,0,43,319
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/util/Credentials.java,org.apache.ivy.util.Credentials,class,1,20,1,0,10,29,11,10,1,4,0,0,1,85
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/resolver/packager/BuiltFileResource.java,org.apache.ivy.plugins.resolver.packager.BuiltFileResource,class,3,11,1,0,7,13,11,11,0,2,1,1,1,69
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/updatesite/UpdateSiteResolver.java,org.apache.ivy.osgi.updatesite.UpdateSiteResolver,class,10,40,3,0,20,16,5,4,0,4,0,0,0,126
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/util/Configurator.java,org.apache.ivy.util.Configurator,class,8,203,1,0,100,1119,70,63,0,28,0,1,14,663
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/util/DateUtil.java,org.apache.ivy.util.DateUtil,class,0,3,1,0,2,0,3,2,2,1,1,1,0,35
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/resolve/IvyNodeEviction.java,org.apache.ivy.core.resolve.IvyNodeEviction,class,6,96,1,0,50,76,33,32,0,13,0,0,1,384
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/lock/AbstractLockStrategy.java,org.apache.ivy.plugins.lock.AbstractLockStrategy,class,1,6,1,1,0,7,6,4,0,2,0,0,0,39
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/resolve/RestartResolveProcess.java,org.apache.ivy.core.resolve.RestartResolveProcess,class,1,1,5,0,0,0,1,1,0,0,0,0,0,31
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/filter/OSGiFilterParser.java,org.apache.ivy.osgi.filter.OSGiFilterParser,class,8,45,1,0,20,23,15,1,1,4,0,0,0,192
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/updatesite/UpdateSiteDescriptor.java,org.apache.ivy.osgi.updatesite.UpdateSiteDescriptor,class,3,3,3,0,5,1,2,2,0,0,0,0,2,34
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/resolver/util/FileURLLister.java,org.apache.ivy.plugins.resolver.util.FileURLLister,class,1,11,1,0,9,8,5,5,0,1,0,0,0,62
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/cache/ModuleDescriptorMemoryCache.java,org.apache.ivy.core.cache.ModuleDescriptorMemoryCache,class,5,19,1,0,16,9,7,3,0,5,0,0,4,117
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/lock/NoLockStrategy.java,org.apache.ivy.plugins.lock.NoLockStrategy,class,2,3,2,0,1,3,3,3,0,0,0,0,0,30
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/pack/Pack200Packing.java,org.apache.ivy.core.pack.Pack200Packing,class,1,11,3,0,4,3,3,3,0,1,0,1,1,47
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/util/filter/Filter.java,org.apache.ivy.util.filter.Filter,interface,0,1,1,0,0,0,1,0,0,0,0,0,0,21
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/conflict/ConflictManager.java,org.apache.ivy.plugins.conflict.ConflictManager,interface,2,3,1,0,0,3,3,0,0,0,0,0,0,55
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/util/ConfigurationUtils.java,org.apache.ivy.util.ConfigurationUtils,class,2,20,1,0,17,1,2,1,1,0,0,0,1,88
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/resolver/SshResolver.java,org.apache.ivy.plugins.resolver.SshResolver,class,2,9,6,0,9,21,7,7,0,0,0,0,0,80
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/core/BundleRequirement.java,org.apache.ivy.osgi.core.BundleRequirement,class,2,44,1,0,4,0,8,8,0,4,0,0,0,97
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/ant/IvyReport.java,org.apache.ivy.ant.IvyReport,class,11,97,3,0,52,386,33,27,0,14,0,0,9,360
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/ant/PackageMapping.java,org.apache.ivy.ant.PackageMapping,class,1,9,1,0,1,16,9,9,0,4,0,0,1,55
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/ant/IvyCachePath.java,org.apache.ivy.ant.IvyCachePath,class,7,23,5,0,20,3,6,5,0,3,0,0,0,102
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/sort/SortEngineSettings.java,org.apache.ivy.core.sort.SortEngineSettings,interface,2,2,1,0,0,1,2,2,0,0,0,0,0,27
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/event/download/StartArtifactDownloadEvent.java,org.apache.ivy.core.event.download.StartArtifactDownloadEvent,class,4,3,3,0,5,0,3,3,0,3,1,1,1,41
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/resolve/IvyNode.java,org.apache.ivy.core.resolve.IvyNode,class,26,312,1,0,231,3582,100,74,1,18,0,1,45,1188
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/event/retrieve/RetrieveEvent.java,org.apache.ivy.core.event.retrieve.RetrieveEvent,class,3,3,2,1,6,0,3,2,0,2,0,0,2,41
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/ant/IvyDependencyUpdateChecker.java,org.apache.ivy.ant.IvyDependencyUpdateChecker,class,11,45,4,0,48,25,10,7,0,4,0,0,1,187
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/lock/LockStrategy.java,org.apache.ivy.plugins.lock.LockStrategy,interface,1,3,1,0,0,3,3,0,0,0,0,0,0,66
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/parser/m2/PomDependencyMgt.java,org.apache.ivy.plugins.parser.m2.PomDependencyMgt,interface,0,5,1,0,0,10,5,5,0,0,0,0,0,26
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/filter/AndFilter.java,org.apache.ivy.osgi.filter.AndFilter,class,2,7,3,0,2,6,4,3,0,0,0,0,0,39
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/osgi/core/ExecutionEnvironmentProfileProvider.java,org.apache.ivy.osgi.core.ExecutionEnvironmentProfileProvider,class,2,26,1,0,21,8,5,4,3,4,0,3,3,114
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/version/Match.java,org.apache.ivy.plugins.version.Match,class,4,23,1,0,18,44,13,11,1,4,0,0,4,108
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/core/module/descriptor/OverrideDependencyDescriptorMediator.java,org.apache.ivy.core.module.descriptor.OverrideDependencyDescriptorMediator,class,3,10,1,0,9,0,4,4,0,2,0,0,1,75
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/repository/jar/JarResource.java,org.apache.ivy.plugins.repository.jar.JarResource,class,2,9,1,0,6,4,9,9,0,3,0,0,0,58
/Users/grano/PycharmProjects/jsep/projects/ivy/sources/org/apache/ivy/plugins/resolver/SFTPResolver.java,org.apache.ivy.plugins.resolver.SFTPResolver,class,2,3,6,0,2,3,3,3,0,0,0,0,0,36
