file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/ThreadUtils.java,org.apache.commons.lang3.ThreadUtils,class,5,44,1,0,31,282,25,22,14,3,1,1,28,400
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/text/translate/UnicodeUnescaper.java,org.apache.commons.lang3.text.translate.UnicodeUnescaper,class,1,9,2,0,6,0,1,1,0,0,0,0,1,62
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/concurrent/ConcurrentRuntimeException.java,org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,class,0,3,4,0,1,3,3,2,0,1,0,1,2,67
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/text/StrBuilder.java,org.apache.commons.lang3.text.StrBuilder,class,9,587,4,0,90,7182,169,160,0,8,0,2,39,2921
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/concurrent/BackgroundInitializer.java,org.apache.commons.lang3.concurrent.BackgroundInitializer,class,4,27,1,2,15,89,15,7,0,4,0,0,3,308
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/tuple/Triple.java,org.apache.commons.lang3.tuple.Triple,class,7,16,1,0,11,36,9,9,1,1,0,1,4,144
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/CharSetUtils.java,org.apache.commons.lang3.CharSetUtils,class,2,43,1,0,11,28,8,6,7,0,0,0,16,251
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/tuple/Pair.java,org.apache.commons.lang3.tuple.Pair,class,5,16,1,3,11,45,10,10,1,1,0,1,3,163
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/mutable/MutableInt.java,org.apache.commons.lang3.mutable.MutableInt,class,2,32,2,0,6,0,30,30,0,2,0,1,5,347
/Users/grano/PycharmProjects/jsep/projects/lang/sources/org/apache/commons/lang3/mutable/MutableByte.java,org.apache.commons.lang3.mutable.MutableByte,class,2,33,2,0,6,0,31,31,0,2,0,1,5,356
