file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/complex/Quaternion.java,org.apache.commons.math3.complex.Quaternion,class,6,42,1,0,17,92,29,29,4,10,5,6,12,422
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/direct/BaseAbstractMultivariateVectorOptimizer.java,org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateVectorOptimizer,class,18,41,1,1,20,142,20,7,0,7,0,0,0,349
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/stat/descriptive/AbstractUnivariateStatistic.java,org.apache.commons.math3.stat.descriptive.AbstractUnivariateStatistic,class,8,22,1,3,7,46,12,7,0,1,0,0,1,243
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/stat/descriptive/summary/SumOfLogs.java,org.apache.commons.math3.stat.descriptive.summary.SumOfLogs,class,3,12,3,0,6,8,9,9,1,3,0,1,2,155
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/stat/ranking/NaNStrategy.java,org.apache.commons.math3.stat.ranking.NaNStrategy,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,48
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/euclidean/oned/IntervalsSet.java,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet,class,16,111,2,0,36,598,36,18,1,3,0,1,6,593
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/fraction/Fraction.java,org.apache.commons.math3.fraction.Fraction,class,6,102,2,0,22,89,31,29,1,18,14,16,9,609
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/linear/AbstractFieldMatrix.java,org.apache.commons.math3.linear.AbstractFieldMatrix,class,30,228,1,0,63,2231,70,56,4,3,0,0,11,1006
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/ode/nonstiff/HighamHall54Integrator.java,org.apache.commons.math3.ode.nonstiff.HighamHall54Integrator,class,3,7,4,0,3,4,4,3,0,5,0,5,0,114
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/partitioning/Embedding.java,org.apache.commons.math3.geometry.partitioning.Embedding,interface,5,2,1,0,0,1,2,0,0,0,0,0,0,58
