file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/chrono/CopticChronology.java,org.joda.time.chrono.CopticChronology,class,10,40,6,0,18,89,14,6,4,7,1,7,12,241
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/LocalDateTime.java,org.joda.time.LocalDateTime,class,20,242,4,0,117,9061,138,128,7,10,0,6,34,2248
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/chrono/BuddhistChronology.java,org.joda.time.chrono.BuddhistChronology,class,13,30,4,0,22,53,11,8,3,6,1,6,17,225
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/DateTimeUtils.java,org.joda.time.DateTimeUtils,class,16,76,1,0,30,423,31,24,24,5,1,3,31,562
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/format/DateTimeParser.java,org.joda.time.format.DateTimeParser,interface,1,2,1,0,0,1,2,0,0,0,0,0,0,60
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/chrono/GJCacheKey.java,org.joda.time.chrono.GJCacheKey,class,3,25,1,0,4,0,3,2,0,3,0,0,0,71
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/base/BasePeriod.java,org.joda.time.base.BasePeriod,class,15,73,2,0,54,234,32,6,0,4,0,2,38,583
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/DurationFieldType.java,org.joda.time.DurationFieldType,class,4,50,2,0,16,175,22,19,12,17,0,15,1,321
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/chrono/BasicFixedMonthChronology.java,org.joda.time.chrono.BasicFixedMonthChronology,class,2,24,5,0,7,77,15,0,0,4,0,4,0,135
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/chrono/JulianChronology.java,org.joda.time.chrono.JulianChronology,class,7,49,6,0,16,163,19,6,5,7,0,7,14,242
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/MonthDay.java,org.joda.time.MonthDay,class,17,81,4,0,52,1307,54,48,7,8,2,6,22,912
/Users/grano/PycharmProjects/jsep/projects/time/sources/org/joda/time/chrono/ZonedChronology.java,org.joda.time.chrono.ZonedChronology,class,15,138,8,0,78,19,67,55,2,13,0,4,4,569
