project,class,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
dagger,dagger.Provides,12,29,NaN,103.96391252091354,0.0,0.0,0.0,0.03465463750697118
dagger,dagger.releasablereferences.ForReleasableReferences,24,61,NaN,279.6827125439906,0.0,0.0,0.0,0.09322757084799686
dagger,dagger.releasablereferences.ReleasableReferenceManager,19,27,NaN,114.6940428629768,0.0,0.0,0.0,0.03823134762099227
dagger,dagger.releasablereferences.TypedReleasableReferenceManager,13,20,NaN,74.00879436282185,0.0,0.0,0.0,0.024669598120940616
dagger,dagger.releasablereferences.CanReleaseReferences,13,27,NaN,99.91187238980949,0.0,0.0,0.0,0.03330395746326983
dagger,dagger.releasablereferences.package-info,2,2,NaN,2.0,0.0,0.0,0.0,6.666666666666666E-4
dagger,dagger.Reusable,14,26,NaN,98.9912279734977,0.0,0.0,0.0,0.0329970759911659
dagger,dagger.multibindings.IntoSet,13,30,NaN,111.01319154423277,0.0,0.0,0.0,0.03700439718141092
dagger,dagger.multibindings.StringKey,16,35,NaN,140.0,0.0,0.0,0.0,0.04666666666666667
dagger,dagger.multibindings.ElementsIntoSet,13,30,NaN,111.01319154423277,0.0,0.0,0.0,0.03700439718141092
dagger,dagger.multibindings.IntKey,15,34,NaN,132.83428025068963,0.0,0.0,0.0,0.04427809341689654
dagger,dagger.multibindings.ClassKey,16,35,NaN,140.0,0.0,0.0,0.0,0.04666666666666667
dagger,dagger.multibindings.LongKey,15,34,NaN,132.83428025068963,0.0,0.0,0.0,0.04427809341689654
dagger,dagger.multibindings.Multibinds,13,30,NaN,111.01319154423277,0.0,0.0,0.0,0.03700439718141092
dagger,dagger.multibindings.IntoMap,13,30,NaN,111.01319154423277,0.0,0.0,0.0,0.03700439718141092
dagger,dagger.multibindings.package-info,2,2,NaN,2.0,0.0,0.0,0.0,6.666666666666666E-4
dagger,dagger.Module,16,32,NaN,128.0,0.0,0.0,0.0,0.042666666666666665
dagger,dagger.internal.Preconditions,25,62,102.862383112184,287.9190837660329,2.590909090909091,745.9721715756307,41.442898420868374,0.09597302792201096
dagger,dagger.internal.MembersInjectors,23,56,NaN,253.31946953919274,0.0,0.0,0.0,0.08443982317973091
dagger,dagger.internal.SetFactory,57,234,311.5797840918496,1364.8962633145497,8.0,10919.170106516398,606.6205614731332,0.4549654211048499
dagger,dagger.internal.ReferenceReleasingProvider,38,170,180.97373660251156,892.1476772854095,8.058823529411764,7189.660693417712,399.4255940787618,0.2973825590951365
dagger,dagger.internal.TypedReleasableReferenceManagerDecorator,22,57,92.23866587835397,254.18760226232595,0.0,0.0,0.0,0.08472920075410866
dagger,dagger.internal.SingleCheck,24,71,96.99355338051744,325.53233755120215,3.0476190476190474,992.098552536997,55.116586252055384,0.10851077918373404
dagger,dagger.internal.DaggerCollections,44,102,210.11730005192322,556.8620251010043,10.0,5568.620251010043,309.36779172278017,0.1856206750336681
dagger,dagger.internal.Factory,10,17,NaN,56.472777613085164,0.0,0.0,0.0,0.01882425920436172
dagger,dagger.internal.DelegateFactory,18,36,63.35824643629125,150.11730005192322,2.1333333333333333,320.25024011076954,17.791680006153864,0.05003910001730774
dagger,dagger.internal.InstanceFactory,22,68,88.43856189774725,303.2413500673362,3.25,985.5343877188427,54.751910428824594,0.10108045002244541
dagger,dagger.internal.MapProviderFactory,41,140,208.1306865356277,750.0572806465317,3.4615384615384617,2596.3521253149174,144.24178473971764,0.2500190935488439
dagger,dagger.internal.GwtIncompatible,3,3,NaN,4.754887502163469,0.0,0.0,0.0,0.0015849625007211565
dagger,dagger.internal.Beta,10,19,NaN,63.11663380285989,0.0,0.0,0.0,0.021038877934286628
dagger,dagger.internal.ProviderOfLazy,16,42,NaN,168.0,0.0,0.0,0.0,0.056
dagger,dagger.internal.ReferenceReleasingProviderManager,45,115,235.3293844521902,631.5631060779126,2.558139534883721,1615.6265504318694,89.7570305795483,0.2105210353593042
dagger,dagger.internal.DoubleCheck,34,121,152.49108933313642,615.5830037912912,7.241379310344827,4457.670027454177,247.6483348585654,0.20519433459709704
dagger,dagger.internal.MapFactory,31,95,147.20671786825557,470.6486494867532,0.0,0.0,0.0,0.15688288316225107
dagger,dagger.Component,23,52,NaN,235.22522171496468,0.0,0.0,0.0,0.07840840723832156
dagger,dagger.Subcomponent,15,35,NaN,136.74117084629816,0.0,0.0,0.0,0.045580390282099384
dagger,dagger.BindsInstance,14,33,NaN,125.64271242790092,0.0,0.0,0.0,0.04188090414263364
dagger,dagger.BindsOptionalOf,15,28,NaN,109.39293667703852,0.0,0.0,0.0,0.03646431222567951
dagger,dagger.Lazy,4,5,NaN,10.0,0.0,0.0,0.0,0.0033333333333333335
dagger,dagger.MembersInjector,5,6,NaN,13.931568569324174,0.0,0.0,0.0,0.004643856189774725
dagger,dagger.MapKey,16,34,NaN,136.0,0.0,0.0,0.0,0.04533333333333334
dagger,dagger.Binds,12,29,NaN,103.96391252091354,0.0,0.0,0.0,0.03465463750697118
dagger,dagger.package-info,1,1,NaN,0.0,0.0,0.0,0.0,0.0
