project,class,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
guava,com.google.common.escape.CharEscaper,56,217,287.3031309274962,1260.1960180865,18.913043478260867,23834.142081201193,1324.1190045111773,0.4200653393621667
guava,com.google.common.escape.ArrayBasedEscaperMap,35,88,168.46500593882897,451.37690549115706,2.484848484848485,1121.6032197052994,62.311289983627745,0.15045896849705234
guava,com.google.common.escape.ArrayBasedUnicodeEscaper,65,210,351.1940651927299,1264.6972407359754,15.363636363636363,19430.348516761802,1079.4638064867668,0.4215657469119918
guava,com.google.common.escape.CharEscaperBuilder,59,160,313.2936924405463,941.2228878978947,11.058823529411764,10408.817819106129,578.2676566170071,0.31374096263263157
guava,com.google.common.escape.Escapers,80,291,471.5086772526445,1839.6810756122222,10.397260273972602,19127.642964242146,1062.6468313467858,0.6132270252040741
guava,com.google.common.escape.Platform,17,24,64.0,98.09910819000817,0.0,0.0,0.0,0.03269970273000272
guava,com.google.common.escape.Escaper,16,41,58.60335893412778,164.0,0.0,0.0,0.0,0.05466666666666667
guava,com.google.common.escape.UnicodeEscaper,83,335,482.28834790885674,2135.63820950122,19.02777777777778,40636.449264120434,2257.5805146733574,0.7118794031670733
guava,com.google.common.escape.ArrayBasedCharEscaper,48,142,234.6600115486085,793.0646751024043,12.102564102564102,9598.116067906021,533.2286704392234,0.26435489170080145
guava,com.google.common.escape.package-info,8,12,NaN,36.0,0.0,0.0,0.0,0.012
guava,com.google.common.collect.MultitransformedIterator,35,99,164.75488750216346,507.79901867755166,2.875,1459.922178697961,81.10678770544229,0.16926633955918388
guava,com.google.common.collect.DiscreteDomain,83,390,491.16140178719104,2486.265378225301,18.72,46542.88788037763,2585.715993354313,0.8287551260751004
guava,com.google.common.collect.NullsLastOrdering,48,120,244.939024926627,670.1955000865388,5.116279069767442,3428.9072097450826,190.49484498583791,0.22339850002884626
guava,com.google.common.collect.AbstractObjectCountMap,112,429,707.4051689861265,2920.355261562712,22.799999999999997,66584.09996362982,3699.116664646101,0.9734517538542373
guava,com.google.common.collect.ImmutableSortedMap,208,1538,1535.5026794552346,11843.276286501,44.44897959183673,526421.545959167,29245.64144217594,3.9477587621670005
guava,com.google.common.collect.FilteredMultimapValues,63,191,363.7749775913361,1141.660465388484,3.0491803278688523,3481.128632168164,193.39603512045358,0.380553488462828
guava,com.google.common.collect.Multiset,50,140,NaN,790.1398665684615,0.0,0.0,0.0,0.2633799555228205
guava,com.google.common.collect.WellBehavedMap,41,139,208.1306865356277,744.6997286419137,3.4615384615384617,2577.8067529912396,143.2114862772911,0.2482332428806379
guava,com.google.common.collect.ClassToInstanceMap,22,46,NaN,205.13385445731566,0.0,0.0,0.0,0.06837795148577189
guava,com.google.common.collect.LinkedHashMultimapGwtSerializationDependencies,17,31,NaN,126.71134807876054,0.0,0.0,0.0,0.04223711602625351
guava,com.google.common.collect.AbstractMapBasedMultiset,101,408,625.4285932069549,2716.550284962733,19.78021978021978,53733.96168058153,2985.2200933656404,0.9055167616542442
guava,com.google.common.collect.Cut,107,700,680.3063053878814,4719.026890480803,26.90909090909091,126984.7235983925,7054.706866577361,1.5730089634936009
guava,com.google.common.collect.ForwardingConcurrentMap,26,83,NaN,390.1364966057107,0.0,0.0,0.0,0.13004549886857023
guava,com.google.common.collect.AbstractBiMap,138,790,949.962204396095,5615.7343208547545,11.338345864661655,63673.13801390203,3537.3965563278907,1.8719114402849182
guava,com.google.common.collect.TopKSelector,88,416,523.480654020129,2687.123553353116,22.179487179487182,59599.022401293485,3311.0568000718604,0.8957078511177055
guava,com.google.common.collect.AbstractSetMultimap,44,134,233.3293844521902,731.5638368973979,0.0,0.0,0.0,0.24385461229913263
guava,com.google.common.collect.Sets,312,2301,2470.2811317143514,19064.710505602034,82.42413793103448,1571392.328328984,87299.57379605467,6.354903501867344
guava,com.google.common.collect.Serialization,87,383,541.7095510155793,2467.6473589100633,4.25,10487.50127536777,582.6389597426538,0.8225491196366878
guava,com.google.common.collect.HashMultimapGwtSerializationDependencies,17,31,NaN,126.71134807876054,0.0,0.0,0.0,0.04223711602625351
guava,com.google.common.collect.ForwardingImmutableList,10,15,NaN,49.82892142331044,0.0,0.0,0.0,0.016609640474436815
