project,class,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
math,org.apache.commons.math3.RealFieldElement,63,206,NaN,1231.3196642409828,0.0,0.0,0.0,0.4104398880803276
math,org.apache.commons.math3.primes.Primes,37,112,169.0898606263201,583.4587769504424,9.193548387096774,5364.056497770196,298.0031387650109,0.1944862589834808
math,org.apache.commons.math3.primes.SmallPrimes,581,758,5234.479924376973,6960.254919880633,8.669611307420494,60342.70475592626,3352.3724864403475,2.3200849732935445
math,org.apache.commons.math3.primes.PollardRho,64,260,337.3994087763805,1560.0,22.941176470588236,35788.23529411765,1988.2352941176473,0.52
math,org.apache.commons.math3.primes.package-info,5,5,NaN,11.60964047443681,0.0,0.0,0.0,0.0038698801581456034
math,org.apache.commons.math3.fitting.CurveFitter,69,264,408.42797576067073,1612.650456589437,3.656716417910448,5897.005400961374,327.6114111645208,0.537550152196479
math,org.apache.commons.math3.fitting.GaussianCurveFitter,134,619,879.086672767773,4373.909208893361,30.70588235294118,134304.74159072558,7461.374532818088,1.457969736297787
math,org.apache.commons.math3.fitting.SimpleCurveFitter,53,140,291.2936924405463,801.908863638848,2.5294117647058822,2028.357713910027,112.68653966166818,0.26730295454628267
math,org.apache.commons.math3.fitting.PolynomialFitter,20,43,NaN,185.8429080801566,0.0,0.0,0.0,0.06194763602671887
math,org.apache.commons.math3.fitting.HarmonicFitter,113,553,706.8449236574182,3771.5589662155994,29.07142857142857,109644.60708926778,6091.367060514876,1.2571863220718664
math,org.apache.commons.math3.fitting.WeightedObservedPoint,18,35,69.48686830125578,145.94737505048093,0.0,0.0,0.0,0.04864912501682698
math,org.apache.commons.math3.fitting.leastsquares.ParameterValidator,11,17,NaN,58.81033751683406,0.0,0.0,0.0,0.019603445838944685
math,org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer,214,2172,1564.1400339366023,16814.46629446329,73.15384615384615,1230042.880464199,68335.71558134438,5.60482209815443
math,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker,27,69,118.09640474436812,328.08723764927936,2.56,839.9033283821552,46.66129602123085,0.10936241254975979
math,org.apache.commons.math3.fitting.leastsquares.OptimumImpl,29,88,134.6059378176129,427.5023275712264,0.0,0.0,0.0,0.14250077585707546
math,org.apache.commons.math3.fitting.leastsquares.LeastSquaresAdapter,25,64,110.03910001730776,297.20679614558236,0.0,0.0,0.0,0.09906893204852746
math,org.apache.commons.math3.fitting.leastsquares.DenseWeightedEvaluation,22,61,92.23866587835397,272.0253287368751,0.0,0.0,0.0,0.09067510957895837
math,org.apache.commons.math3.fitting.leastsquares.LeastSquaresOptimizer,14,16,NaN,60.91767875292166,0.0,0.0,0.0,0.020305892917640553
math,org.apache.commons.math3.fitting.leastsquares.AbstractEvaluation,50,138,258.7430298092722,778.852154188912,5.511111111111111,4292.340760863337,238.46337560351873,0.2596173847296373
math,org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizer,103,469,651.8078845236342,3135.9687472489295,13.09375,41061.59078429067,2281.1994880161483,1.045322915749643
math,org.apache.commons.math3.fitting.leastsquares.LeastSquaresFactory,112,598,724.6472638093461,4070.798243390447,16.25714285714286,66179.54858540471,3676.6415880780396,1.3569327477968158
math,org.apache.commons.math3.fitting.leastsquares.ValueAndJacobianFunction,14,26,NaN,98.9912279734977,0.0,0.0,0.0,0.0329970759911659
math,org.apache.commons.math3.fitting.leastsquares.MultivariateJacobianFunction,14,31,NaN,118.02800258378572,0.0,0.0,0.0,0.039342667527928574
math,org.apache.commons.math3.fitting.leastsquares.LeastSquaresBuilder,49,181,268.0782000346155,1016.2624817848528,0.0,0.0,0.0,0.3387541605949509
math,org.apache.commons.math3.fitting.leastsquares.LeastSquaresProblem,27,51,NaN,242.49926261033693,0.0,0.0,0.0,0.08083308753677898
math,org.apache.commons.math3.fitting.leastsquares.package-info,6,6,NaN,15.509775004326936,0.0,0.0,0.0,0.005169925001442312
math,org.apache.commons.math3.fitting.WeightedObservedPoints,25,57,110.03910001730776,264.6998028171593,0.0,0.0,0.0,0.08823326760571977
math,org.apache.commons.math3.fitting.GaussianFitter,108,509,669.4343209665043,3438.237738601206,31.5,108304.48876593799,6016.91604255211,1.146079246200402
math,org.apache.commons.math3.fitting.AbstractCurveFitter,45,156,231.2322192588714,856.7290830274293,3.2857142857142856,2814.966987090125,156.38705483834028,0.2855763610091431
math,org.apache.commons.math3.fitting.HarmonicCurveFitter,145,678,971.5111746278268,4867.978363030125,28.0,136303.3941648435,7572.41078693575,1.6226594543433752
math,org.apache.commons.math3.fitting.PolynomialCurveFitter,61,147,340.4747308073903,871.8183886217444,4.701754385964913,4099.075932467149,227.72644069261938,0.29060612954058146
math,org.apache.commons.math3.fitting.package-info,5,5,NaN,11.60964047443681,0.0,0.0,0.0,0.0038698801581456034
math,org.apache.commons.math3.analysis.UnivariateMatrixFunction,8,8,NaN,24.0,0.0,0.0,0.0,0.008
math,org.apache.commons.math3.analysis.FunctionUtils,103,1313,627.03334137421,8779.375192191566,86.30681818181819,757719.9384624426,42095.55213680237,2.9264583973971887
math,org.apache.commons.math3.analysis.DifferentiableUnivariateMatrixFunction,9,10,NaN,31.699250014423125,0.0,0.0,0.0,0.010566416671474375
math,org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,82,262,474.6857932898427,1665.6786252099382,15.704225352112676,26158.1924944941,1453.2329163607833,0.5552262084033127
math,org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,106,473,662.1900305964504,3182.306375008393,18.842105263157897,59961.35169752657,3331.1862054181424,1.0607687916694644
math,org.apache.commons.math3.analysis.integration.MidPointIntegrator,71,213,387.86861405323333,1309.8961364544973,17.896551724137932,23442.62395930635,1302.3679977392417,0.4366320454848324
math,org.apache.commons.math3.analysis.integration.RombergIntegrator,66,211,356.02853204886657,1275.3671591846337,15.545454545454545,19826.162201870215,1101.4534556594563,0.42512238639487787
math,org.apache.commons.math3.analysis.integration.SimpsonIntegrator,58,169,301.29748098348915,989.9987881765596,14.895833333333332,14746.856948880002,819.2698304933334,0.3299995960588532
math,org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,52,210,269.5936249829495,1197.0923408096294,12.391304347826086,14833.535527423668,824.0853070790927,0.3990307802698765
math,org.apache.commons.math3.analysis.integration.gauss.HermiteRuleFactory,78,402,439.5596241826837,2526.731691982624,25.661538461538463,64839.82249580026,3602.2123608777924,0.8422438973275413
math,org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,54,154,278.0838499786226,886.2526753331742,11.91304347826087,10557.966653969119,586.5537029982844,0.29541755844439144
math,org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,66,353,351.6855004276838,2133.6711241335342,27.056603773584904,57729.89418882052,3207.2163438233624,0.7112237080445114
math,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,84,582,484.7377618206666,3720.328740057238,39.46478873239437,146821.98774141382,8156.7770967452125,1.2401095800190793
math,org.apache.commons.math3.analysis.integration.gauss.package-info,7,7,NaN,19.651484454403228,0.0,0.0,0.0,0.00655049481813441
math,org.apache.commons.math3.analysis.integration.gauss.SymmetricGaussIntegrator,52,153,259.6966127055816,872.1672768755872,14.166666666666668,12355.70308907082,686.4279493928233,0.29072242562519574
math,org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator,48,141,239.31111664374467,787.4797126016831,8.926829268292682,7029.696946639414,390.53871925774524,0.26249323753389436
math,org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,69,228,408.42797576067073,1392.7435761454228,3.1940298507462686,4448.464556643589,247.13691981353273,0.46424785871514096
math,org.apache.commons.math3.analysis.integration.UnivariateIntegrator,24,53,NaN,243.00301253822133,0.0,0.0,0.0,0.08100100417940712
math,org.apache.commons.math3.analysis.integration.package-info,6,6,NaN,15.509775004326936,0.0,0.0,0.0,0.005169925001442312
math,org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,71,235,385.77769971619676,1445.1905730836004,23.456140350877195,33898.59291601358,1883.2551620007544,0.4817301910278668
math,org.apache.commons.math3.analysis.BivariateFunction,9,9,NaN,28.529325012980813,0.0,0.0,0.0,0.009509775004326938
math,org.apache.commons.math3.analysis.DifferentiableUnivariateFunction,9,10,NaN,31.699250014423125,0.0,0.0,0.0,0.010566416671474375
math,org.apache.commons.math3.analysis.DifferentiableUnivariateVectorFunction,9,10,NaN,31.699250014423125,0.0,0.0,0.0,0.010566416671474375
math,org.apache.commons.math3.analysis.UnivariateVectorFunction,8,8,NaN,24.0,0.0,0.0,0.0,0.008
math,org.apache.commons.math3.analysis.solvers.AbstractDifferentiableUnivariateSolver,31,66,147.20671786825557,326.9769564855338,0.0,0.0,0.0,0.10899231882851126
math,org.apache.commons.math3.analysis.solvers.AbstractUnivariateDifferentiableSolver,32,71,153.58008562199316,355.0,0.0,0.0,0.0,0.11833333333333333
math,org.apache.commons.math3.analysis.solvers.BaseUnivariateSolver,23,54,NaN,244.2723456270787,0.0,0.0,0.0,0.08142411520902623
math,org.apache.commons.math3.analysis.solvers.PegasusSolver,14,33,NaN,125.64271242790092,0.0,0.0,0.0,0.04188090414263364
math,org.apache.commons.math3.analysis.solvers.BracketedUnivariateSolver,18,34,NaN,141.7774500490386,0.0,0.0,0.0,0.0472591500163462
math,org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils,104,555,637.5697475784772,3718.744043568306,35.62222222222222,132469.92670755542,7359.440372641968,1.239581347856102
math,org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolver,43,97,214.1306865356277,526.3476812061035,4.410256410256411,2321.3282350628156,128.96267972571198,0.17544922706870117
math,org.apache.commons.math3.analysis.solvers.BaseSecantSolver,76,306,429.5076556518598,1911.8658191137374,19.615384615384613,37501.98337492331,2083.4435208290724,0.6372886063712458
math,org.apache.commons.math3.analysis.solvers.SecantSolver,46,132,225.78217099003092,729.1101781995258,8.153846153846153,5945.052222242287,330.2806790134604,0.24303672606650858
math,org.apache.commons.math3.analysis.solvers.DifferentiableUnivariateSolver,10,16,NaN,53.1508495181978,0.0,0.0,0.0,0.017716949839399268
math,org.apache.commons.math3.analysis.solvers.UnivariateDifferentiableSolver,10,16,NaN,53.1508495181978,0.0,0.0,0.0,0.017716949839399268
math,org.apache.commons.math3.analysis.solvers.MullerSolver2,74,311,409.8806939271703,1931.1399967106038,22.131147540983605,42738.344189496966,2374.3524549720537,0.6437133322368679
math,org.apache.commons.math3.analysis.solvers.AbstractPolynomialSolver,24,54,104.0419249893113,247.5879750389425,0.0,0.0,0.0,0.08252932501298083
math,org.apache.commons.math3.analysis.solvers.MullerSolver,82,383,472.0693611948016,2434.9424177687265,23.82857142857143,58021.19932626051,3223.3999625700285,0.8116474725895755
math,org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver,77,260,459.8571927982413,1629.3645005806745,6.767123287671233,11026.110455984292,612.5616919991273,0.5431215001935582
math,org.apache.commons.math3.analysis.solvers.BrentSolver,79,411,444.756876755656,2590.8538875007894,32.63076923076923,84541.55531367961,4696.7530729822,0.8636179625002631
math,org.apache.commons.math3.analysis.solvers.LaguerreSolver,129,687,846.8522221999121,4816.713124475776,30.102564102564102,144995.41559319387,8055.300866288549,1.6055710414919253
math,org.apache.commons.math3.analysis.solvers.IllinoisSolver,15,33,NaN,128.92738965508113,0.0,0.0,0.0,0.04297579655169371
