A,Ca,Ce,D,I,V,class,project
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AuthCacheMBean,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.IAuthenticator,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.IAuthenticator$SaslNegotiator,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.IAuthorizer,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.IInternodeAuthenticator,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.IResource,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.IRoleManager,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.PasswordAuthenticator$CredentialsCacheMBean,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.PermissionsCacheMBean,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.RolesCacheMBean,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AllowAllAuthenticator,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AllowAllAuthenticator$1,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AllowAllAuthenticator$Negotiator,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AllowAllAuthorizer,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AllowAllInternodeAuthenticator,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AuthCache,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AuthCache$1,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AuthConfig,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AuthKeyspace,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AuthMigrationListener,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.AuthenticatedUser,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.CassandraAuthorizer,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.CassandraAuthorizer$1,cassandra
0.17,10.0,37.0,0.04,0.79,1.0,org.apache.cassandra.auth.CassandraAuthorizer$2,cassandra
