A,Ca,Ce,D,I,V,class,project
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Binds,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.BindsInstance,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.BindsOptionalOf,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Component,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Component$Builder,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Lazy,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.MapKey,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.MembersInjector,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Module,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Provides,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Reusable,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Subcomponent,dagger
1.0,2.0,3.0,0.6,0.6,1.0,dagger.Subcomponent$Builder,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.Beta,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.Factory,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.GwtIncompatible,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.ReferenceReleasingProviderManager$Operation,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.DaggerCollections,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.DelegateFactory,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.DoubleCheck,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.InstanceFactory,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.MapFactory,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.MapProviderFactory,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.MapProviderFactory$1,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.MapProviderFactory$Builder,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.MembersInjectors,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.MembersInjectors$NoOpMembersInjector,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.Preconditions,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.ProviderOfLazy,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.ReferenceReleasingProvider,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.ReferenceReleasingProviderManager,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.ReferenceReleasingProviderManager$1,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.ReferenceReleasingProviderManager$Operation$1,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.ReferenceReleasingProviderManager$Operation$2,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.SetFactory,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.SetFactory$1,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.SetFactory$Builder,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.SingleCheck,dagger
0.15,0.0,8.0,0.15,1.0,1.0,dagger.internal.TypedReleasableReferenceManagerDecorator,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.ClassKey,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.ElementsIntoSet,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.IntKey,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.IntoMap,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.IntoSet,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.LongKey,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.Multibinds,dagger
1.0,0.0,3.0,1.0,1.0,1.0,dagger.multibindings.StringKey,dagger
1.0,1.0,3.0,0.75,0.75,1.0,dagger.releasablereferences.CanReleaseReferences,dagger
1.0,1.0,3.0,0.75,0.75,1.0,dagger.releasablereferences.ForReleasableReferences,dagger
1.0,1.0,3.0,0.75,0.75,1.0,dagger.releasablereferences.ReleasableReferenceManager,dagger
1.0,1.0,3.0,0.75,0.75,1.0,dagger.releasablereferences.TypedReleasableReferenceManager,dagger
