A,Ca,Ce,D,I,V,class,project
0.2,14.0,32.0,0.1,0.7,1.0,org.apache.ivy.Ivy$IvyCallback,ivy
0.2,14.0,32.0,0.1,0.7,1.0,org.apache.ivy.Ivy,ivy
0.2,14.0,32.0,0.1,0.7,1.0,org.apache.ivy.Ivy$1,ivy
0.2,14.0,32.0,0.1,0.7,1.0,org.apache.ivy.Ivy14,ivy
0.2,14.0,32.0,0.1,0.7,1.0,org.apache.ivy.Main,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCacheTask,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyPostResolveTask,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyTask,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.AddPathTask,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.AntBuildTrigger,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.AntCallTrigger,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.AntMessageLogger,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.AntMessageLogger$1,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.BuildOBRTask,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.BuildOBRTask$1AntMessageLogger2,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.ConvertManifestTask,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.FixDepsTask,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.FixDepsTask$Keep,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyAntSettings,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyAntSettings$1,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyAntSettings$Credentials,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyAntVariableContainer,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyArtifactProperty,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyArtifactReport,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyBuildList,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyBuildList$OnMissingDescriptor,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyBuildNumber,ivy
