A,Ca,Ce,D,I,V,class,project
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ThreadUtils$ThreadGroupPredicate,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ThreadUtils$ThreadPredicate,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.AnnotationUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.AnnotationUtils$1,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ArchUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ArrayUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ArrayUtils$1,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.BitField,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.BooleanUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharEncoding,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharRange,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharRange$1,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharRange$CharacterIterator,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharSequenceUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharSet,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharSetUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.CharUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ClassPathUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ClassUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ClassUtils$1,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ClassUtils$1$1,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ClassUtils$2,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ClassUtils$2$1,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ClassUtils$Interfaces,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.Conversion,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.EnumUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.JavaVersion,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.LocaleUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.LocaleUtils$SyncAvoid,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.NotImplementedException,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ObjectUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ObjectUtils$Null,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.RandomStringUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.RandomUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.Range,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.Range$ComparableComparator,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.RegExUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.SerializationException,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.SerializationUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.StringEscapeUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.StringEscapeUtils$CsvEscaper,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.StringEscapeUtils$CsvUnescaper,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.StringUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.SystemUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ThreadUtils,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ThreadUtils$1,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ThreadUtils$AlwaysTruePredicate,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ThreadUtils$NamePredicate,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.ThreadUtils$ThreadIdPredicate,lang
0.04,10.0,16.0,0.35,0.62,1.0,org.apache.commons.lang3.Validate,lang
0.0,1.0,1.0,0.5,0.5,1.0,org.apache.commons.lang3.arch.Processor,lang
0.0,1.0,1.0,0.5,0.5,1.0,org.apache.commons.lang3.arch.Processor$Arch,lang
0.0,1.0,1.0,0.5,0.5,1.0,org.apache.commons.lang3.arch.Processor$Type,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.Builder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.Diff,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.Diffable,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.EqualsExclude,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.HashCodeExclude,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringExclude,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringStyle,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.ToStringSummary,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.CompareToBuilder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$1,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$10,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$11,lang
0.18,5.0,8.0,0.21,0.62,1.0,org.apache.commons.lang3.builder.DiffBuilder$12,lang
