A,Ca,Ce,D,I,V,class,project
1.0,8.0,2.0,0.2,0.2,1.0,org.apache.commons.math3.Field,math
1.0,8.0,2.0,0.2,0.2,1.0,org.apache.commons.math3.FieldElement,math
1.0,8.0,2.0,0.2,0.2,1.0,org.apache.commons.math3.RealFieldElement,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.BivariateFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.DifferentiableMultivariateFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.DifferentiableMultivariateVectorFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.DifferentiableUnivariateFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.DifferentiableUnivariateMatrixFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.DifferentiableUnivariateVectorFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.MultivariateFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.MultivariateMatrixFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.MultivariateVectorFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.ParametricUnivariateFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.TrivariateFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.UnivariateFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.UnivariateMatrixFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.UnivariateVectorFunction,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$1,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$10,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$11,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$12,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$13,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$14,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$14$1,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$15,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$16,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$16$1,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$16$2,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$17,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$18,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$18$1,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$19,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$2,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$3,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$3$1,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$4,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$5,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$6,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$6$1,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$7,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$8,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$9,math
0.34,26.0,5.0,0.5,0.16,1.0,org.apache.commons.math3.analysis.FunctionUtils$9$1,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.MultivariateDifferentiableFunction,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.MultivariateDifferentiableVectorFunction,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableMatrixFunction,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableVectorFunction,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.UnivariateFunctionDifferentiator,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.UnivariateMatrixFunctionDifferentiator,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.UnivariateVectorFunctionDifferentiator,math
