A,Ca,Ce,D,I,V,class,project
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Chronology,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeField,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeFieldType,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeUtils$MillisProvider,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeZone,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DurationField,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DurationFieldType,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadWritableDateTime,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadWritableInstant,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadWritableInterval,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadWritablePeriod,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadableDateTime,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadableDuration,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadableInstant,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadableInterval,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadablePartial,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.ReadablePeriod,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateMidnight,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateMidnight$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTime,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTime$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeComparator,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeConstants,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeUtils,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeUtils$FixedMillisProvider,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeUtils$OffsetMillisProvider,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeUtils$SystemMillisProvider,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeZone$LazyInit,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeZone$LazyInit$1,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DateTimeZone$Stub,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Days,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Duration,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.DurationFieldType$StandardDurationFieldType,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Hours,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.IllegalFieldValueException,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.IllegalInstantException,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Instant,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Interval,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.JodaTimePermission,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.LocalDate,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.LocalDate$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.LocalDateTime,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.LocalDateTime$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.LocalTime,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.LocalTime$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Minutes,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.MonthDay,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.MonthDay$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Months,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.MutableDateTime,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.MutableDateTime$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.MutableInterval,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.MutablePeriod,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Partial,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Partial$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Period,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.PeriodType,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Seconds,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.TimeOfDay,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.TimeOfDay$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.UTCDateTimeZone,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.Weeks,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.YearMonth,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.YearMonth$Property,time
0.25,6.0,15.0,0.04,0.71,1.0,org.joda.time.YearMonthDay,time
