TARGET_CLASS,BranchCoverage
com.google.common.base.Absent,0.9285714285714286
com.google.common.base.AbstractIterator,0.0
com.google.common.base.Ascii,0.9763636363636363
com.google.common.base.CharMatcher,0.7816860465116279
com.google.common.base.CommonPattern,1.0
com.google.common.base.Converter,0.6892307692307693
com.google.common.base.Defaults,0.5
com.google.common.base.Enums,0.4285714285714285
com.google.common.base.Equivalence,0.6068181818181818
com.google.common.base.ExtraObjectsMethodsForWeb,0.0
com.google.common.base.FinalizableReferenceQueue,0.5999999999999999
com.google.common.base.FunctionalEquivalence,0.6384615384615385
com.google.common.base.Functions,0.4661538461538462
com.google.common.base.JdkPattern,0.5999999999999999
com.google.common.base.Joiner,0.9983606557377049
com.google.common.base.MoreObjects,0.9685714285714285
com.google.common.base.Objects,0.857142857142857
com.google.common.base.Optional,0.5384615384615384
com.google.common.base.PairwiseEquivalence,0.9882352941176471
com.google.common.base.Platform,0.857142857142857
com.google.common.base.Preconditions,0.9957894736842107
com.google.common.base.Predicates,0.3416666666666667
com.google.common.base.Present,1.0
com.google.common.base.SmallCharMatcher,0.9629629629629626
com.google.common.base.Splitter,0.9224719101123593
com.google.common.base.Stopwatch,0.8465116279069766
com.google.common.base.Strings,0.8297872340425532
com.google.common.base.Suppliers,0.7272727272727273
com.google.common.base.Throwables,0.7058823529411765
com.google.common.base.Ticker,0.5
com.google.common.base.Utf8,0.7265625
com.google.common.base.Verify,1.0
com.google.common.base.VerifyException,1.0
com.google.common.base.internal.Finalizer,0.13333333333333333
com.google.common.cache.AbstractCache,0.2758620689655173
com.google.common.cache.AbstractLoadingCache,0.0
com.google.common.cache.CacheBuilder,0.8359712230215827
com.google.common.cache.CacheBuilderSpec,0.8154929577464788
com.google.common.cache.CacheLoader,0.9206349206349207
com.google.common.cache.CacheStats,1.0
com.google.common.cache.ForwardingCache,0.7666666666666668
com.google.common.cache.ForwardingLoadingCache,0.0
com.google.common.cache.LongAddables,0.33333333333333337
com.google.common.cache.LongAdder,0.8421052631578947
com.google.common.cache.RemovalListeners,0.39999999999999997
com.google.common.cache.RemovalNotification,1.0
com.google.common.cache.Striped64,0.5492957746478873
com.google.common.collect.AbstractBiMap,0.5375
com.google.common.collect.AbstractIndexedListIterator,0.0
