project,class,branch_coverage
cassandra,org.apache.cassandra.auth.CassandraPrincipal,0.8
cassandra,org.apache.cassandra.auth.DataResource,0.88
cassandra,org.apache.cassandra.auth.JMXResource,0.9333333333333332
cassandra,org.apache.cassandra.auth.Resources,0.5
cassandra,org.apache.cassandra.cache.KeyCacheKey,0.1111111111111111
cassandra,org.apache.cassandra.cache.RowCacheKey,0.3888888888888889
cassandra,org.apache.cassandra.config.ParameterizedClass,0.6666666666666666
cassandra,org.apache.cassandra.config.TransparentDataEncryptionOptions,1.0
cassandra,org.apache.cassandra.config.ViewDefinition,0.7222222222222222
cassandra,org.apache.cassandra.cql3.Attributes,0.25
cassandra,org.apache.cassandra.cql3.ColumnConditions,0.5
cassandra,org.apache.cassandra.cql3.ColumnSpecification,0.15
cassandra,org.apache.cassandra.cql3.Cql_Parser,0.007832422586520947
cassandra,org.apache.cassandra.cql3.Duration,0.4957264957264957
cassandra,org.apache.cassandra.cql3.ErrorCollector,0.06666666666666668
cassandra,org.apache.cassandra.cql3.IndexName,1.0
cassandra,org.apache.cassandra.cql3.Operations,0.2222222222222222
cassandra,org.apache.cassandra.cql3.RoleName,1.0
cassandra,org.apache.cassandra.cql3.Terms,0.5
cassandra,org.apache.cassandra.cql3.UTName,0.8333333333333334
cassandra,org.apache.cassandra.cql3.UpdateParameters,0.05555555555555555
cassandra,org.apache.cassandra.cql3.VariableSpecifications,0.09090909090909093
cassandra,org.apache.cassandra.cql3.WhereClause,0.5
cassandra,org.apache.cassandra.cql3.functions.CastFcts,1.0
cassandra,org.apache.cassandra.cql3.functions.FromJsonFct,0.08333333333333333
cassandra,org.apache.cassandra.cql3.functions.FunctionName,0.5833333333333334
cassandra,org.apache.cassandra.cql3.functions.ThreadAwareSecurityManager,0.16666666666666666
cassandra,org.apache.cassandra.cql3.functions.ToJsonFct,0.08333333333333333
cassandra,org.apache.cassandra.cql3.restrictions.IndexRestrictions,1.0
cassandra,org.apache.cassandra.cql3.statements.CQL3CasRequest,0.016129032258064516
cassandra,org.apache.cassandra.cql3.statements.CreateAggregateStatement,0.013513513513513514
cassandra,org.apache.cassandra.cql3.statements.DropKeyspaceStatement,0.5
cassandra,org.apache.cassandra.db.ClusteringBound,0.5
cassandra,org.apache.cassandra.db.ClusteringBoundary,0.3333333333333333
cassandra,org.apache.cassandra.db.ClusteringComparator,0.4090909090909091
cassandra,org.apache.cassandra.db.ColumnIndex,0.017241379310344827
cassandra,org.apache.cassandra.db.DataRange,0.027777777777777776
cassandra,org.apache.cassandra.db.LivenessInfo,1.0
cassandra,org.apache.cassandra.db.MutableDeletionInfo,0.4583333333333333
cassandra,org.apache.cassandra.db.NativeClustering,0.125
cassandra,org.apache.cassandra.db.RangeTombstoneList,0.1631578947368421
cassandra,org.apache.cassandra.db.ReadExecutionController,0.14705882352941174
cassandra,org.apache.cassandra.db.RowIndexEntry,0.75
cassandra,org.apache.cassandra.db.TypeSizes,0.42857142857142855
cassandra,org.apache.cassandra.db.commitlog.CommitLogDescriptor,0.3709677419354839
cassandra,org.apache.cassandra.db.commitlog.IntervalSet,1.0
cassandra,org.apache.cassandra.db.commitlog.SimpleCachedBufferPool,0.7
cassandra,org.apache.cassandra.db.compaction.CompactionInfo,0.4166666666666667
cassandra,org.apache.cassandra.db.compaction.CompactionIterator,0.15
cassandra,org.apache.cassandra.db.compaction.Scrubber,0.007042253521126761
cassandra,org.apache.cassandra.db.compaction.Verifier,0.019230769230769232
cassandra,org.apache.cassandra.db.filter.ClusteringIndexNamesFilter,0.09523809523809523
cassandra,org.apache.cassandra.db.filter.ClusteringIndexSliceFilter,0.038461538461538464
cassandra,org.apache.cassandra.db.marshal.TypeParser,0.273972602739726
cassandra,org.apache.cassandra.db.partitions.SingletonUnfilteredPartitionIterator,1.0
cassandra,org.apache.cassandra.db.rows.BTreeRow,0.027027027027027032
cassandra,org.apache.cassandra.db.rows.EncodingStats,0.9285714285714286
cassandra,org.apache.cassandra.db.rows.NativeCell,0.03333333333333333
cassandra,org.apache.cassandra.db.rows.RangeTombstoneBoundaryMarker,0.25
cassandra,org.apache.cassandra.db.rows.RowAndDeletionMergeIterator,0.020833333333333332
cassandra,org.apache.cassandra.db.rows.UnfilteredRowIteratorWithLowerBound,0.015625
cassandra,org.apache.cassandra.db.rows.UnfilteredSerializer,0.11016949152542373
cassandra,org.apache.cassandra.db.view.TableViews,0.0410958904109589
cassandra,org.apache.cassandra.db.view.ViewUpdateGenerator,0.006802721088435374
cassandra,org.apache.cassandra.db.view.ViewUtils,0.041666666666666664
cassandra,org.apache.cassandra.dht.Bounds,0.021739130434782608
cassandra,org.apache.cassandra.dht.Range,0.007352941176470587
cassandra,org.apache.cassandra.hadoop.ColumnFamilySplit,0.3125
cassandra,org.apache.cassandra.hadoop.HadoopCompat,0.5
cassandra,org.apache.cassandra.hints.ChecksummedDataInput,0.038461538461538464
cassandra,org.apache.cassandra.hints.CompressedChecksummedDataInput,0.03571428571428571
cassandra,org.apache.cassandra.hints.EncryptedChecksummedDataInput,0.03333333333333333
cassandra,org.apache.cassandra.index.TargetParser,0.16666666666666666
cassandra,org.apache.cassandra.index.sasi.SSTableIndex,0.038461538461538464
cassandra,org.apache.cassandra.index.sasi.analyzer.NoOpAnalyzer,1.0
cassandra,org.apache.cassandra.index.sasi.utils.MappedBuffer,0.03571428571428571
cassandra,org.apache.cassandra.index.sasi.utils.OnDiskIndexIterator,0.5
cassandra,org.apache.cassandra.io.compress.CompressedSequentialWriter,0.05
cassandra,org.apache.cassandra.io.sstable.Descriptor,0.12857142857142856
cassandra,org.apache.cassandra.io.sstable.Downsampling,0.875
cassandra,org.apache.cassandra.io.sstable.ReducingKeyIterator,0.7
cassandra,org.apache.cassandra.io.sstable.SSTableLoader,0.023809523809523808
cassandra,org.apache.cassandra.io.sstable.SSTableRewriter,0.09523809523809523
cassandra,org.apache.cassandra.io.sstable.format.big.BigTableScanner,0.021739130434782608
cassandra,org.apache.cassandra.io.sstable.metadata.StatsMetadata,0.625
cassandra,org.apache.cassandra.io.util.BufferedDataOutputStreamPlus,0.015625
cassandra,org.apache.cassandra.io.util.DataInputBuffer,0.8333333333333334
cassandra,org.apache.cassandra.io.util.DataOutputBuffer,0.4444444444444444
cassandra,org.apache.cassandra.io.util.LengthAvailableInputStream,0.75
cassandra,org.apache.cassandra.io.util.Memory,0.03260869565217391
cassandra,org.apache.cassandra.io.util.MmappedRegions,0.075
cassandra,org.apache.cassandra.io.util.RandomAccessReader,0.02
cassandra,org.apache.cassandra.io.util.SequentialWriter,0.041666666666666664
cassandra,org.apache.cassandra.io.util.SsdDiskOptimizationStrategy,1.0
cassandra,org.apache.cassandra.locator.DynamicEndpointSnitch,0.022727272727272728
cassandra,org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir,0.5
cassandra,org.apache.cassandra.metrics.DefaultNameFactory,1.0
cassandra,org.apache.cassandra.metrics.LatencyMetrics,0.5
cassandra,org.apache.cassandra.metrics.TableMetrics,0.029411764705882363
cassandra,org.apache.cassandra.net.CompactEndpointSerializationHelper,0.125
cassandra,org.apache.cassandra.net.MessageOut,0.1
cassandra,org.apache.cassandra.repair.RepairJobDesc,0.6
cassandra,org.apache.cassandra.schema.Functions,0.2222222222222222
cassandra,org.apache.cassandra.schema.Indexes,0.42857142857142855
cassandra,org.apache.cassandra.schema.Keyspaces,0.6666666666666666
cassandra,org.apache.cassandra.schema.ReplicationParams,0.05555555555555555
cassandra,org.apache.cassandra.schema.Tables,0.4
cassandra,org.apache.cassandra.schema.Triggers,0.4
cassandra,org.apache.cassandra.schema.Types,0.375
cassandra,org.apache.cassandra.schema.Views,0.4
cassandra,org.apache.cassandra.security.CipherFactory,0.05
cassandra,org.apache.cassandra.security.EncryptionUtils,0.3333333333333333
cassandra,org.apache.cassandra.serializers.BooleanSerializer,0.625
cassandra,org.apache.cassandra.serializers.ByteSerializer,0.6
cassandra,org.apache.cassandra.serializers.BytesSerializer,0.5
cassandra,org.apache.cassandra.serializers.DecimalSerializer,0.5
cassandra,org.apache.cassandra.serializers.DoubleSerializer,0.4
cassandra,org.apache.cassandra.serializers.DurationSerializer,0.09090909090909093
cassandra,org.apache.cassandra.serializers.EmptySerializer,0.5
cassandra,org.apache.cassandra.serializers.FloatSerializer,0.4
cassandra,org.apache.cassandra.serializers.InetAddressSerializer,0.5
cassandra,org.apache.cassandra.serializers.Int32Serializer,0.4
cassandra,org.apache.cassandra.serializers.IntegerSerializer,0.5
cassandra,org.apache.cassandra.serializers.LongSerializer,0.4
cassandra,org.apache.cassandra.serializers.ShortSerializer,0.5
cassandra,org.apache.cassandra.serializers.SimpleDateSerializer,0.35
cassandra,org.apache.cassandra.serializers.TimeSerializer,0.4482758620689655
cassandra,org.apache.cassandra.serializers.TimeUUIDSerializer,0.25
cassandra,org.apache.cassandra.serializers.UUIDSerializer,0.5
cassandra,org.apache.cassandra.service.QueryState,0.1
cassandra,org.apache.cassandra.service.pager.PagingState,0.234375
cassandra,org.apache.cassandra.streaming.ProgressInfo,0.75
cassandra,org.apache.cassandra.streaming.StreamSummary,0.6666666666666666
cassandra,org.apache.cassandra.streaming.StreamTransferTask,0.375
cassandra,org.apache.cassandra.streaming.compress.CompressionInfo,0.125
cassandra,org.apache.cassandra.streaming.management.SessionInfoCompositeData,0.2
cassandra,org.apache.cassandra.streaming.management.StreamStateCompositeData,0.16666666666666666
cassandra,org.apache.cassandra.streaming.messages.FileMessageHeader,0.5
cassandra,org.apache.cassandra.streaming.messages.PrepareMessage,0.5
cassandra,org.apache.cassandra.tools.BulkLoadConnectionFactory,0.1
cassandra,org.apache.cassandra.tools.nodetool.stats.CompactionHistoryPrinter,0.2
cassandra,org.apache.cassandra.tools.nodetool.stats.StatsKeyspace,0.5
cassandra,org.apache.cassandra.tools.nodetool.stats.TableStatsPrinter,0.2
cassandra,org.apache.cassandra.tools.nodetool.stats.TpStatsPrinter,0.2
cassandra,org.apache.cassandra.transport.ServerConnection,0.022727272727272728
cassandra,org.apache.cassandra.utils.BiMultiValMap,0.3333333333333333
cassandra,org.apache.cassandra.utils.BloomCalculations,0.5588235294117647
cassandra,org.apache.cassandra.utils.CassandraVersion,0.0125
cassandra,org.apache.cassandra.utils.CoalescingStrategies,0.09375
cassandra,org.apache.cassandra.utils.ConcurrentBiMap,0.25
cassandra,org.apache.cassandra.utils.DirectorySizeCalculator,0.5
cassandra,org.apache.cassandra.utils.DynamicList,0.3648648648648649
cassandra,org.apache.cassandra.utils.EstimatedHistogram,0.813953488372093
cassandra,org.apache.cassandra.utils.GuidGenerator,0.4
cassandra,org.apache.cassandra.utils.HistogramBuilder,0.9722222222222222
cassandra,org.apache.cassandra.utils.IntegerInterval,0.0625
cassandra,org.apache.cassandra.utils.Interval,0.8
cassandra,org.apache.cassandra.utils.LongTimSort,0.0049751243781094535
cassandra,org.apache.cassandra.utils.MerkleTree,0.020833333333333332
cassandra,org.apache.cassandra.utils.MurmurHash,0.8974358974358975
cassandra,org.apache.cassandra.utils.ObjectSizes,0.375
cassandra,org.apache.cassandra.utils.OverlapIterator,0.25
cassandra,org.apache.cassandra.utils.SlidingTimeRate,0.1
cassandra,org.apache.cassandra.utils.SyncUtil,0.07142857142857142
cassandra,org.apache.cassandra.utils.btree.BTreeRemoval,0.008064516129032258
cassandra,org.apache.cassandra.utils.concurrent.Accumulator,0.65
cassandra,org.apache.cassandra.utils.memory.ContextAllocator,0.125
cassandra,org.apache.cassandra.utils.memory.SlabPool,1.0
cassandra,org.apache.cassandra.utils.obs.OffHeapBitSet,0.14285714285714285
cassandra,org.apache.cassandra.utils.obs.OpenBitSet,0.7317073170731707
cassandra,org.apache.cassandra.utils.progress.ProgressEvent,1.0
cassandra,org.apache.cassandra.utils.progress.jmx.LegacyJMXProgressSupport,0.07142857142857142
cassandra,org.apache.cassandra.utils.vint.VIntCoding,0.375
dagger,dagger.internal.DaggerCollections,0.5
guava,com.google.common.primitives.ImmutableDoubleArray,0.84375
guava,com.google.common.primitives.ImmutableIntArray,0.8478260869565217
guava,com.google.common.primitives.ImmutableLongArray,0.8695652173913043
lang,org.apache.commons.lang3.ArchUtils,0.75
lang,org.apache.commons.lang3.time.FastTimeZone,0.5
math,org.apache.commons.math3.analysis.differentiation.DSCompiler,0.3581081081081081
math,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,0.014285714285714284
math,org.apache.commons.math3.analysis.differentiation.SparseGradient,0.8660714285714286
math,org.apache.commons.math3.analysis.function.Gaussian,0.14285714285714285
math,org.apache.commons.math3.analysis.function.Logistic,1.0
math,org.apache.commons.math3.analysis.function.Logit,0.25
math,org.apache.commons.math3.analysis.function.Sinc,0.2307692307692308
math,org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,0.25
math,org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,0.15384615384615385
math,org.apache.commons.math3.analysis.integration.MidPointIntegrator,0.3333333333333333
math,org.apache.commons.math3.analysis.integration.RombergIntegrator,0.3333333333333333
math,org.apache.commons.math3.analysis.integration.SimpsonIntegrator,0.3333333333333333
math,org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,0.2857142857142857
math,org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,1.0
math,org.apache.commons.math3.analysis.integration.gauss.HermiteRuleFactory,1.0
math,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,1.0
math,org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,1.0
math,org.apache.commons.math3.analysis.interpolation.BicubicInterpolator,0.75
math,org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,1.0
math,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,0.8571428571428571
math,org.apache.commons.math3.analysis.interpolation.LinearInterpolator,1.0
math,org.apache.commons.math3.analysis.interpolation.LoessInterpolator,0.3076923076923077
math,org.apache.commons.math3.analysis.interpolation.PiecewiseBicubicSplineInterpolatingFunction,0.4807692307692308
math,org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,0.96875
math,org.apache.commons.math3.analysis.interpolation.TricubicInterpolator,0.55
math,org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator,1.0
math,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm,0.8888888888888888
math,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils,1.0
math,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver,0.09090909090909093
math,org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils,0.16176470588235295
math,org.apache.commons.math3.complex.ComplexUtils,1.0
math,org.apache.commons.math3.complex.RootsOfUnity,1.0
math,org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP,0.030303030303030307
math,org.apache.commons.math3.dfp.DfpField,0.8478260869565217
math,org.apache.commons.math3.distribution.BinomialDistribution,1.0
math,org.apache.commons.math3.distribution.ConstantRealDistribution,1.0
math,org.apache.commons.math3.distribution.KolmogorovSmirnovDistribution,0.25
math,org.apache.commons.math3.distribution.PascalDistribution,1.0
math,org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,0.2962962962962963
math,org.apache.commons.math3.exception.NonMonotonicSequenceException,1.0
math,org.apache.commons.math3.exception.util.ArgUtils,1.0
math,org.apache.commons.math3.fraction.Fraction,0.8673469387755102
math,org.apache.commons.math3.genetics.BinaryMutation,0.25
math,org.apache.commons.math3.genetics.CycleCrossover,0.045454545454545456
math,org.apache.commons.math3.genetics.FixedElapsedTime,1.0
math,org.apache.commons.math3.genetics.FixedGenerationCount,1.0
math,org.apache.commons.math3.genetics.GeneticAlgorithm,0.4444444444444444
math,org.apache.commons.math3.genetics.NPointCrossover,0.1875
