project,class,branch_coverage
cassandra,org.apache.cassandra.auth.CassandraPrincipal,0.7999999999999999
cassandra,org.apache.cassandra.auth.DataResource,0.8400000000000001
cassandra,org.apache.cassandra.auth.JMXResource,0.9066666666666668
cassandra,org.apache.cassandra.auth.Resources,0.5
cassandra,org.apache.cassandra.auth.RoleResource,0.5999999999999999
cassandra,org.apache.cassandra.cache.KeyCacheKey,0.11111111111111112
cassandra,org.apache.cassandra.cache.RowCacheKey,0.3888888888888889
cassandra,org.apache.cassandra.cache.RowCacheSentinel,0.75
cassandra,org.apache.cassandra.concurrent.NamedThreadFactory,0.5
cassandra,org.apache.cassandra.config.ParameterizedClass,0.6666666666666667
cassandra,org.apache.cassandra.config.TransparentDataEncryptionOptions,1.0
cassandra,org.apache.cassandra.config.ViewDefinition,0.7222222222222222
cassandra,org.apache.cassandra.cql3.Attributes,0.25
cassandra,org.apache.cassandra.cql3.ColumnCondition,0.2465753424657535
cassandra,org.apache.cassandra.cql3.ColumnConditions,0.5
cassandra,org.apache.cassandra.cql3.ColumnIdentifier,0.6153846153846153
cassandra,org.apache.cassandra.cql3.ColumnSpecification,0.14999999999999994
cassandra,org.apache.cassandra.cql3.Cql_Parser,0.007795992714025502
cassandra,org.apache.cassandra.cql3.Duration,0.4615384615384616
cassandra,org.apache.cassandra.cql3.ErrorCollector,0.06666666666666668
cassandra,org.apache.cassandra.cql3.IndexName,1.0
cassandra,org.apache.cassandra.cql3.Operations,0.22222222222222227
cassandra,org.apache.cassandra.cql3.RoleName,1.0
cassandra,org.apache.cassandra.cql3.Terms,0.5
cassandra,org.apache.cassandra.cql3.UTName,0.8333333333333333
cassandra,org.apache.cassandra.cql3.UpdateParameters,0.055555555555555566
cassandra,org.apache.cassandra.cql3.VariableSpecifications,0.09090909090909093
cassandra,org.apache.cassandra.cql3.WhereClause,0.5
cassandra,org.apache.cassandra.cql3.functions.CastFcts,1.0
cassandra,org.apache.cassandra.cql3.functions.FromJsonFct,0.08333333333333334
cassandra,org.apache.cassandra.cql3.functions.FunctionName,0.5833333333333333
cassandra,org.apache.cassandra.cql3.functions.ThreadAwareSecurityManager,0.16666666666666669
cassandra,org.apache.cassandra.cql3.functions.ToJsonFct,0.08333333333333334
cassandra,org.apache.cassandra.cql3.restrictions.IndexRestrictions,1.0
cassandra,org.apache.cassandra.cql3.statements.AlterKeyspaceStatement,0.07142857142857141
cassandra,org.apache.cassandra.cql3.statements.AlterTableStatement,0.009009009009009007
cassandra,org.apache.cassandra.cql3.statements.CQL3CasRequest,0.016129032258064512
cassandra,org.apache.cassandra.cql3.statements.CreateAggregateStatement,0.013513513513513514
cassandra,org.apache.cassandra.cql3.statements.CreateFunctionStatement,0.023809523809523808
cassandra,org.apache.cassandra.cql3.statements.CreateKeyspaceStatement,0.1
cassandra,org.apache.cassandra.cql3.statements.CreateTypeStatement,0.0625
cassandra,org.apache.cassandra.cql3.statements.DropFunctionStatement,0.17391304347826084
cassandra,org.apache.cassandra.cql3.statements.DropKeyspaceStatement,0.5
cassandra,org.apache.cassandra.cql3.statements.RequestValidations,0.6875
cassandra,org.apache.cassandra.db.ClusteringBound,0.5
cassandra,org.apache.cassandra.db.ClusteringBoundary,0.33333333333333337
cassandra,org.apache.cassandra.db.ClusteringComparator,0.40909090909090906
cassandra,org.apache.cassandra.db.ColumnIndex,0.01724137931034483
cassandra,org.apache.cassandra.db.DataRange,0.027777777777777783
cassandra,org.apache.cassandra.db.DeletionTime,0.9615384615384616
cassandra,org.apache.cassandra.db.LivenessInfo,0.9444444444444444
cassandra,org.apache.cassandra.db.MutableDeletionInfo,0.4583333333333333
cassandra,org.apache.cassandra.db.NativeClustering,0.125
cassandra,org.apache.cassandra.db.RangeTombstoneList,0.16315789473684214
cassandra,org.apache.cassandra.db.ReadExecutionController,0.14705882352941174
cassandra,org.apache.cassandra.db.RowIndexEntry,0.75
cassandra,org.apache.cassandra.db.Slice,0.14754098360655735
cassandra,org.apache.cassandra.db.TypeSizes,0.4285714285714285
cassandra,org.apache.cassandra.db.aggregation.GroupingState,0.5
cassandra,org.apache.cassandra.db.commitlog.CommitLogDescriptor,0.3387096774193549
cassandra,org.apache.cassandra.db.commitlog.CommitLogPosition,0.75
cassandra,org.apache.cassandra.db.commitlog.IntervalSet,1.0
cassandra,org.apache.cassandra.db.commitlog.SimpleCachedBufferPool,0.7000000000000001
cassandra,org.apache.cassandra.db.compaction.CompactionInfo,0.4166666666666666
cassandra,org.apache.cassandra.db.compaction.CompactionIterator,0.14999999999999994
cassandra,org.apache.cassandra.db.compaction.Scrubber,0.007042253521126761
cassandra,org.apache.cassandra.db.compaction.Verifier,0.019230769230769232
cassandra,org.apache.cassandra.db.filter.ClusteringIndexNamesFilter,0.09523809523809523
cassandra,org.apache.cassandra.db.filter.ClusteringIndexSliceFilter,0.038461538461538464
cassandra,org.apache.cassandra.db.filter.ColumnFilter,0.01282051282051282
cassandra,org.apache.cassandra.db.marshal.TypeParser,0.2739726027397261
cassandra,org.apache.cassandra.db.partitions.SingletonUnfilteredPartitionIterator,1.0
cassandra,org.apache.cassandra.db.rows.BTreeRow,0.027027027027027032
cassandra,org.apache.cassandra.db.rows.EncodingStats,0.9107142857142858
cassandra,org.apache.cassandra.db.rows.NativeCell,0.03333333333333333
cassandra,org.apache.cassandra.db.rows.RangeTombstoneBoundaryMarker,0.25
cassandra,org.apache.cassandra.db.rows.RowAndDeletionMergeIterator,0.02083333333333334
cassandra,org.apache.cassandra.db.rows.UnfilteredRowIteratorWithLowerBound,0.015625
cassandra,org.apache.cassandra.db.rows.UnfilteredSerializer,0.11016949152542374
cassandra,org.apache.cassandra.db.view.TableViews,0.0410958904109589
cassandra,org.apache.cassandra.db.view.ViewUpdateGenerator,0.006802721088435373
cassandra,org.apache.cassandra.db.view.ViewUtils,0.04166666666666667
cassandra,org.apache.cassandra.dht.Bounds,0.021739130434782605
cassandra,org.apache.cassandra.dht.Range,0.007352941176470587
cassandra,org.apache.cassandra.hadoop.ColumnFamilySplit,0.3125
cassandra,org.apache.cassandra.hadoop.HadoopCompat,0.5
cassandra,org.apache.cassandra.hints.ChecksummedDataInput,0.038461538461538464
cassandra,org.apache.cassandra.hints.CompressedChecksummedDataInput,0.035714285714285705
cassandra,org.apache.cassandra.hints.EncryptedChecksummedDataInput,0.03333333333333333
cassandra,org.apache.cassandra.index.TargetParser,0.16666666666666669
cassandra,org.apache.cassandra.index.sasi.SSTableIndex,0.038461538461538464
cassandra,org.apache.cassandra.index.sasi.analyzer.NoOpAnalyzer,1.0
cassandra,org.apache.cassandra.index.sasi.plan.Operation,0.010204081632653059
cassandra,org.apache.cassandra.index.sasi.utils.MappedBuffer,0.035714285714285705
cassandra,org.apache.cassandra.index.sasi.utils.OnDiskIndexIterator,0.5
cassandra,org.apache.cassandra.io.compress.CompressedSequentialWriter,0.05
cassandra,org.apache.cassandra.io.sstable.Descriptor,0.12857142857142856
cassandra,org.apache.cassandra.io.sstable.Downsampling,0.875
cassandra,org.apache.cassandra.io.sstable.ReducingKeyIterator,0.7000000000000001
cassandra,org.apache.cassandra.io.sstable.SSTableLoader,0.023809523809523808
cassandra,org.apache.cassandra.io.sstable.SSTableRewriter,0.09523809523809523
cassandra,org.apache.cassandra.io.sstable.format.big.BigTableScanner,0.021739130434782605
cassandra,org.apache.cassandra.io.sstable.metadata.CompactionMetadata,0.8333333333333333
cassandra,org.apache.cassandra.io.sstable.metadata.StatsMetadata,0.625
cassandra,org.apache.cassandra.io.sstable.metadata.ValidationMetadata,0.9000000000000001
cassandra,org.apache.cassandra.io.util.BufferedDataOutputStreamPlus,0.015625
cassandra,org.apache.cassandra.io.util.ChecksumWriter,0.0625
cassandra,org.apache.cassandra.io.util.DataInputBuffer,0.8333333333333333
cassandra,org.apache.cassandra.io.util.DataOutputBuffer,0.4444444444444445
cassandra,org.apache.cassandra.io.util.FastByteArrayInputStream,1.0
cassandra,org.apache.cassandra.io.util.FileSegmentInputStream,0.16666666666666669
cassandra,org.apache.cassandra.io.util.LengthAvailableInputStream,0.75
cassandra,org.apache.cassandra.io.util.Memory,0.032608695652173905
cassandra,org.apache.cassandra.io.util.MmappedRegions,0.07499999999999997
cassandra,org.apache.cassandra.io.util.RandomAccessReader,0.02
cassandra,org.apache.cassandra.io.util.RewindableDataInputStreamPlus,0.3734177215189873
cassandra,org.apache.cassandra.io.util.SequentialWriter,0.04166666666666667
cassandra,org.apache.cassandra.io.util.SsdDiskOptimizationStrategy,1.0
cassandra,org.apache.cassandra.locator.DynamicEndpointSnitch,0.02272727272727273
cassandra,org.apache.cassandra.metrics.DecayingEstimatedHistogramReservoir,0.5
cassandra,org.apache.cassandra.metrics.DefaultNameFactory,1.0
cassandra,org.apache.cassandra.metrics.LatencyMetrics,0.5
cassandra,org.apache.cassandra.metrics.TableMetrics,0.029411764705882363
cassandra,org.apache.cassandra.net.CompactEndpointSerializationHelper,0.125
cassandra,org.apache.cassandra.net.MessageOut,0.1
cassandra,org.apache.cassandra.repair.RepairJobDesc,0.5799999999999998
cassandra,org.apache.cassandra.repair.messages.SnapshotMessage,0.75
cassandra,org.apache.cassandra.repair.messages.ValidationRequest,0.875
cassandra,org.apache.cassandra.schema.Functions,0.22222222222222227
cassandra,org.apache.cassandra.schema.Indexes,0.4285714285714285
cassandra,org.apache.cassandra.schema.Keyspaces,0.6666666666666667
cassandra,org.apache.cassandra.schema.ReplicationParams,0.055555555555555566
cassandra,org.apache.cassandra.schema.SpeculativeRetryParam,1.0
cassandra,org.apache.cassandra.schema.Tables,0.4
cassandra,org.apache.cassandra.schema.Triggers,0.4
cassandra,org.apache.cassandra.schema.Types,0.375
cassandra,org.apache.cassandra.schema.Views,0.4
cassandra,org.apache.cassandra.security.CipherFactory,0.05
cassandra,org.apache.cassandra.security.EncryptionUtils,0.33333333333333337
cassandra,org.apache.cassandra.serializers.AsciiSerializer,0.75
cassandra,org.apache.cassandra.serializers.BooleanSerializer,0.625
cassandra,org.apache.cassandra.serializers.ByteSerializer,0.5999999999999999
cassandra,org.apache.cassandra.serializers.BytesSerializer,0.5
cassandra,org.apache.cassandra.serializers.DecimalSerializer,0.5
cassandra,org.apache.cassandra.serializers.DoubleSerializer,0.4
cassandra,org.apache.cassandra.serializers.DurationSerializer,0.09090909090909093
cassandra,org.apache.cassandra.serializers.EmptySerializer,0.5
cassandra,org.apache.cassandra.serializers.FloatSerializer,0.4
cassandra,org.apache.cassandra.serializers.InetAddressSerializer,0.5
cassandra,org.apache.cassandra.serializers.Int32Serializer,0.4
cassandra,org.apache.cassandra.serializers.IntegerSerializer,0.5
cassandra,org.apache.cassandra.serializers.LongSerializer,0.4
cassandra,org.apache.cassandra.serializers.ShortSerializer,0.5
cassandra,org.apache.cassandra.serializers.SimpleDateSerializer,0.35000000000000003
cassandra,org.apache.cassandra.serializers.TimeSerializer,0.4482758620689654
cassandra,org.apache.cassandra.serializers.TimeUUIDSerializer,0.25
cassandra,org.apache.cassandra.serializers.TimestampSerializer,0.5499999999999999
cassandra,org.apache.cassandra.serializers.UTF8Serializer,1.0
cassandra,org.apache.cassandra.serializers.UUIDSerializer,0.5
cassandra,org.apache.cassandra.service.QueryState,0.1
cassandra,org.apache.cassandra.service.pager.PagingState,0.234375
cassandra,org.apache.cassandra.service.paxos.Commit,0.13636363636363633
cassandra,org.apache.cassandra.service.paxos.PrepareResponse,0.29999999999999993
cassandra,org.apache.cassandra.streaming.ProgressInfo,0.6666666666666667
cassandra,org.apache.cassandra.streaming.SessionInfo,0.375
cassandra,org.apache.cassandra.streaming.StreamSummary,0.6666666666666667
cassandra,org.apache.cassandra.streaming.StreamTransferTask,0.375
