project,class,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
guava,com.google.common.escape.CharEscaper,56,217,287.30313092749617,1260.1960180864999,18.913043478260867,23834.142081201197,1324.1190045111773,0.4200653393621667
guava,com.google.common.escape.ArrayBasedEscaperMap,35,88,168.46500593882897,451.37690549115706,2.484848484848485,1121.6032197052994,62.311289983627745,0.15045896849705234
guava,com.google.common.escape.ArrayBasedUnicodeEscaper,65,210,351.19406519272985,1264.6972407359756,15.363636363636365,19430.3485167618,1079.4638064867668,0.4215657469119918
guava,com.google.common.escape.CharEscaperBuilder,59,160,313.2936924405463,941.2228878978948,11.058823529411764,10408.817819106129,578.2676566170071,0.3137409626326316
guava,com.google.common.escape.Escapers,80,291,471.5086772526445,1839.6810756122227,10.397260273972602,19127.642964242143,1062.6468313467858,0.6132270252040741
guava,com.google.common.escape.Platform,17,24,64.0,98.09910819000817,0.0,0.0,0.0,0.03269970273000272
guava,com.google.common.escape.Escaper,16,41,58.603358934127776,164.0,0.0,0.0,0.0,0.05466666666666667
guava,com.google.common.escape.UnicodeEscaper,83,335,482.2883479088568,2135.63820950122,19.027777777777782,40636.44926412043,2257.580514673357,0.7118794031670733
guava,com.google.common.escape.ArrayBasedCharEscaper,48,142,234.6600115486085,793.0646751024042,12.1025641025641,9598.116067906021,533.2286704392234,0.26435489170080145
guava,com.google.common.escape.package-info,8,12,,36.0,0.0,0.0,0.0,0.012
guava,com.google.common.collect.MultitransformedIterator,35,99,164.75488750216346,507.79901867755166,2.875,1459.922178697961,81.1067877054423,0.16926633955918388
guava,com.google.common.collect.DiscreteDomain,83,390,491.1614017871911,2486.265378225301,18.72,46542.887880377624,2585.715993354313,0.8287551260751004
guava,com.google.common.collect.NullsLastOrdering,48,120,244.939024926627,670.1955000865388,5.116279069767441,3428.9072097450826,190.4948449858379,0.22339850002884626
guava,com.google.common.collect.AbstractObjectCountMap,112,429,707.4051689861266,2920.355261562712,22.8,66584.09996362982,3699.116664646101,0.9734517538542372
guava,com.google.common.collect.ImmutableSortedMap,208,1538,1535.5026794552343,11843.276286501,44.44897959183673,526421.5459591671,29245.641442175936,3.947758762167001
